episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-45.468,3.0,0.511,3,0,0,3,0.286,True,1,21,(3 4),(1 5),100.0,4.8987718304969725,21.0,2
2,-54.469,5.0,0.556,7,0,0,10,0.279,True,2,22,(3 0),(5 4),100.0,4.948158226923628,21.5,3
3,-56.991,3.333,0.577,0,0,0.455,10,0.277,True,3,22,(4 3),(6 1),100.0,4.889589747793274,21.666666666666668,3
4,-62.426,2.75,0.582,1,0,0.5,11,0.382,True,4,24,(4 0),(8 1),100.0,4.941670412963323,22.25,3
5,-51.318,2.2,0.608,0,0,0.407,11,0.362,True,5,5,(8 8),(7 7),100.0,4.678268669593,18.8,3
6,-47.943,2.167,0.586,2,0,0.481,13,0.302,True,6,12,(2 6),(8 4),100.0,4.8494589814512,17.666666666666668,4
7,-47.925,2.571,0.596,5,0,0.667,18,0.314,True,7,15,(8 6),(4 0),100.0,5.2247288663166405,17.285714285714285,5
8,-43.972,2.625,0.594,3,0,0.778,21,0.275,True,8,10,(6 6),(8 4),100.0,4.793439027498422,16.375,6
9,-49.14,2.556,0.544,2,0,0.852,23,0.32,True,9,38,(6 7),(2 1),100.0,5.49091144278108,18.77777777777778,7
10,-47.474,2.3,0.526,0,0,0.489,23,0.317,True,10,20,(0 3),(5 4),100.0,4.932081010228498,18.9,7
11,-46.78,2.273,0.509,2,0,0.532,25,0.294,True,11,15,(0 7),(8 8),100.0,5.170410198184239,18.545454545454547,7
12,-53.277,2.25,0.495,2,0,0.574,27,0.287,True,12,57,(3 3),(2 2),100.0,5.1821448190093795,21.75,8
13,-49.179,2.077,0.506,0,0,0.562,27,0.286,True,13,1,(1 5),(0 5),100.0,4.9491032549155705,20.153846153846153,8
