episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-190.873,0.0,1.19,0,0,0,0,0.064,True,1,94,(8 3),(1 7),100.0,53.89928629903726,94.0,0
2,-155.44,1.0,1.013,2,0,0.021,2,0.133,True,2,26,(1 0),(4 7),100.0,331.54911657940124,60.0,1
3,-121.01,1.0,0.912,1,0,0.032,3,0.193,True,3,30,(8 1),(2 1),100.0,350.57100052719505,50.0,1
4,-101.154,1.25,0.859,2,0,0.053,5,0.202,True,4,13,(3 3),(7 8),100.0,164.6908430496753,40.75,2
5,-127.795,1.6,1.331,3,0,0.085,8,0.269,True,5,60,(4 4),(0 6),100.0,381.1530224338854,44.6,4
6,-116.476,1.333,1.272,0,0,0.075,8,0.275,True,6,13,(8 2),(0 3),100.0,380.15108041915494,39.333333333333336,4
7,-111.153,1.286,1.16,1,0,0.084,9,0.288,True,7,31,(1 0),(8 3),100.0,360.7702101367205,38.142857142857146,4
8,-104.65,1.375,1.109,2,0,0.103,11,0.283,True,8,19,(0 1),(6 2),100.0,222.61368730434052,35.75,5
9,-95.595,1.222,1.068,0,0,0.089,11,0.285,True,9,16,(3 0),(5 4),100.0,191.67342066357836,33.55555555555556,5
10,-86.783,1.1,1.058,0,0,0.086,11,0.287,True,10,5,(2 8),(4 5),100.0,197.42346507062612,30.7,5
11,-104.393,1.273,0.998,3,0,0.109,14,0.285,True,11,44,(4 7),(8 0),100.0,182.3262805281573,31.90909090909091,6
12,-95.777,1.167,0.999,0,0,0.108,14,0.286,True,12,2,(7 6),(6 5),100.0,353.7018544288015,29.416666666666668,6
13,-104.031,1.154,1.09,1,0,0.115,15,0.222,False,12,101,(2 7),(1 7),92.308,13.972946418252684,34.92307692307692,7
14,-97.86,1.071,1.078,0,0,0.108,15,0.218,True,13,9,(2 8),(1 4),92.857,0.013081136647967158,33.07142857142857,7
15,-99.421,1.133,1.207,2,0,0.122,17,0.206,True,14,57,(2 5),(2 8),93.333,59.97169919810654,34.666666666666664,8
16,-97.336,1.188,1.171,2,0,0.137,19,0.226,True,15,28,(0 2),(2 6),93.75,289.4267912842255,34.25,9
17,-93.025,1.118,1.153,0,0,0.127,19,0.229,True,16,11,(2 6),(8 5),94.118,330.9198600066073,32.88235294117647,9
