episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-11.084,1.0,0.658,1,0,0,1,0.167,True,1,6,(4 6),(1 3),100.0,658.0296361098999,6.0,1
2,-19.461,1.0,0.541,1,0,0,2,0.13,True,2,17,(6 4),(4 5),100.0,122.12124781270315,11.5,2
3,-36.422,1.0,0.755,1,0,0,3,0.109,True,3,32,(0 1),(8 1),100.0,330.45615887987475,18.333333333333332,2
4,-37.378,0.75,0.681,0,0,0.25,3,0.209,True,4,12,(1 3),(7 1),100.0,673.7825171669534,16.75,2
5,-32.697,0.8,0.64,1,0,0.333,4,0.253,True,5,8,(3 0),(7 1),100.0,551.3257913533839,15.0,3
6,-32.07,0.833,0.567,1,0,0.417,5,0.256,True,6,11,(5 5),(0 5),100.0,351.90737400458636,14.333333333333334,4
7,-27.834,0.714,0.6,0,0,0.333,5,0.258,True,7,3,(4 3),(6 4),100.0,169.64758564133172,12.714285714285714,4
8,-26.554,0.75,0.577,1,0,0.4,6,0.293,True,8,10,(5 1),(2 0),100.0,1117.0299972829162,12.375,5
9,-28.81,0.667,0.523,0,0,0.182,6,0.291,True,9,18,(1 1),(4 6),100.0,340.1420810283739,13.0,5
10,-30.57,0.7,0.499,1,0,0.212,7,0.285,True,10,13,(6 5),(0 2),100.0,559.1102368113183,13.0,5
11,-42.103,1.0,0.584,4,0,0.333,11,0.234,True,11,58,(0 2),(7 8),100.0,353.3080660345183,17.09090909090909,7
12,-43.864,1.0,0.551,1,0,0.364,12,0.232,True,12,23,(2 3),(5 8),100.0,345.7396356749618,17.583333333333332,8
13,-43.175,0.923,0.555,0,0,0.279,12,0.235,True,13,10,(7 0),(4 7),100.0,419.732535252064,17.0,8
14,-45.318,1.143,0.584,4,0,0.372,16,0.25,True,14,23,(5 8),(4 0),100.0,540.5489193961339,17.428571428571427,10
15,-46.804,1.067,0.564,0,0,0.229,16,0.258,True,15,27,(0 0),(6 3),100.0,689.2248930190013,18.066666666666666,10
16,-44.28,1.0,0.569,0,0,0.211,16,0.26,True,16,6,(5 8),(4 7),100.0,337.8915488345443,17.3125,10
17,-51.352,1.0,1.016,1,0,0.224,17,0.284,True,17,71,(6 8),(7 0),100.0,725.0830807249965,20.470588235294116,10
18,-48.555,0.944,1.01,0,0,0.218,17,0.286,True,18,2,(5 1),(7 1),100.0,686.9753536161909,19.444444444444443,10
19,-48.629,0.895,0.979,0,0,0.181,17,0.287,True,19,16,(7 1),(4 8),100.0,390.0702908717932,19.263157894736842,10
20,-47.248,0.85,0.967,0,0,0.168,17,0.284,True,20,7,(6 8),(6 1),100.0,494.7178780901192,18.65,10
21,-45.421,0.81,0.957,0,0,0.159,17,0.285,True,21,6,(4 3),(1 2),100.0,954.4914969168509,18.047619047619047,10
22,-44.253,0.773,0.941,0,0,0.145,17,0.283,True,22,10,(6 4),(3 1),100.0,361.8052406148847,17.681818181818183,10
23,-42.373,0.739,0.942,0,0,0.143,17,0.286,True,23,2,(6 0),(6 2),100.0,521.0031670880803,17.0,10
24,-42.469,0.75,0.916,1,0,0.151,18,0.29,True,24,16,(7 6),(1 4),100.0,378.57719489590085,16.958333333333332,11
25,-41.597,0.76,0.902,1,0,0.16,19,0.292,True,25,8,(8 4),(4 0),100.0,731.7786531275425,16.6,11
26,-42.355,0.731,0.871,0,0,0.129,19,0.287,True,26,28,(1 1),(6 6),100.0,187.37324446405333,17.03846153846154,11
27,-42.289,0.741,0.856,1,0,0.136,20,0.285,True,27,13,(5 2),(4 8),100.0,264.7003614614471,16.88888888888889,12
28,-41.429,0.714,0.846,0,0,0.128,20,0.286,True,28,9,(5 4),(3 1),100.0,323.3107619123627,16.607142857142858,12
29,-46.054,0.724,0.796,1,0,0.135,21,0.267,True,29,44,(7 5),(1 5),100.0,107.38911828413664,17.551724137931036,12
30,-45.631,0.7,0.774,0,0,0.121,21,0.26,True,30,18,(4 5),(8 4),100.0,0.016303763005221947,17.566666666666666,12
31,-44.502,0.677,0.777,0,0,0.116,21,0.26,True,31,7,(0 2),(0 5),100.0,1418.154374417273,17.225806451612904,12
32,-45.892,0.688,0.786,1,0,0.122,22,0.252,True,32,45,(4 5),(8 7),100.0,272.4059291759902,18.09375,13
33,-44.666,0.667,0.782,0,0,0.118,22,0.252,True,33,5,(4 5),(4 8),100.0,375.29131022957654,17.696969696969695,13
34,-43.638,0.647,0.781,0,0,0.114,22,0.252,True,34,7,(2 4),(4 3),100.0,730.5072559654494,17.38235294117647,13
35,-42.793,0.629,0.777,0,0,0.107,22,0.262,True,35,13,(0 3),(1 1),100.0,1728.245300304927,17.257142857142856,13
36,-43.312,0.639,0.76,1,0,0.112,23,0.262,True,36,23,(2 5),(8 2),100.0,451.75330920792334,17.416666666666668,14
37,-42.463,0.649,0.753,1,0,0.117,24,0.264,True,37,9,(2 7),(1 5),100.0,1031.451471134901,17.18918918918919,14
38,-41.939,0.658,0.75,1,0,0.121,25,0.262,True,38,10,(2 4),(5 7),100.0,509.0756636774149,17.0,15
39,-40.941,0.641,0.75,0,0,0.12,25,0.265,True,39,3,(0 3),(3 3),100.0,1672.2056379672204,16.641025641025642,15
40,-43.185,0.625,0.721,0,0,0.092,25,0.247,True,40,63,(7 2),(7 3),100.0,125.98202105738817,17.8,15
41,-42.5,0.634,0.71,1,0,0.096,26,0.244,True,41,13,(2 5),(1 7),100.0,1060.6275812277224,17.682926829268293,15
42,-41.488,0.619,0.711,0,0,0.095,26,0.245,True,42,1,(1 3),(1 2),100.0,2192.8905668573843,17.285714285714285,15
43,-40.784,0.605,0.711,0,0,0.092,26,0.242,True,43,10,(6 6),(6 4),100.0,0.01552177839849192,17.11627906976744,15
