episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-32.559,1.0,0.476,1,0,0,1,0.05,True,1,20,(8 4),(7 4),100.0,5.197215166827001,20.0,0
2,-27.312,1.5,0.601,2,0,0,3,0.156,True,2,12,(2 5),(2 3),100.0,5.374343540477271,16.0,0
3,-18.208,1.0,0.628,0,0,3.0,3,0.152,True,3,1,(8 4),(8 5),100.0,5.331501572859517,11.0,0
4,-22.762,1.5,0.556,3,0,6.0,6,0.236,True,4,22,(0 2),(2 2),100.0,5.456109432243927,13.75,0
5,-25.335,1.6,0.538,2,0,8.0,8,0.174,True,5,14,(5 4),(7 0),100.0,4.918969631195026,13.8,0
6,-32.877,1.667,0.517,2,0,10.0,10,0.143,True,6,22,(2 8),(8 4),100.0,5.240073166660997,15.166666666666666,0
7,-137.35,2.571,0.693,8,0,18.0,18,0.109,False,6,101,(7 3),(2 8),85.714,5.138641660035803,27.428571428571427,3
8,-121.181,2.25,0.705,0,0,3.0,18,0.117,True,7,5,(2 4),(2 1),87.5,4.765843701738609,24.625,3
9,-113.652,2.333,0.683,3,0,3.5,21,0.117,True,8,25,(5 0),(4 4),88.889,5.062065188755876,24.666666666666668,4
10,-105.574,2.1,0.689,0,0,1.312,21,0.125,True,9,10,(8 7),(5 0),90.0,4.938615056566429,23.2,4
11,-97.405,2.091,0.693,2,0,1.438,23,0.14,True,10,11,(0 6),(1 8),90.909,5.4887279259272495,22.09090909090909,4
12,-90.792,2.0,0.712,1,0,1.5,24,0.133,True,11,12,(5 4),(5 8),91.667,5.305237099580379,21.25,4
13,-87.741,1.846,0.683,0,0,0.585,24,0.182,True,12,25,(2 0),(4 3),92.308,5.190320074079084,21.53846153846154,4
14,-84.938,1.929,0.675,3,0,0.659,27,0.184,True,13,19,(1 5),(7 8),92.857,5.132816724435525,21.357142857142858,5
15,-79.585,1.867,0.679,1,0,0.683,28,0.182,True,14,4,(4 8),(3 5),93.333,4.908518359988544,20.2,5
16,-75.657,1.75,0.672,0,0,0.571,28,0.177,True,15,8,(8 5),(6 3),93.75,5.325280121447564,19.4375,5
17,-71.48,1.706,0.679,1,0,0.592,29,0.171,True,16,4,(6 6),(6 8),94.118,4.818184237988787,18.529411764705884,6
18,-68.745,1.667,0.686,1,0,0.612,30,0.18,True,17,8,(0 2),(3 7),94.444,4.937669102875674,17.944444444444443,6
19,-66.881,1.579,0.675,0,0,0.435,30,0.187,True,18,20,(1 1),(5 2),94.737,5.118104141323181,18.05263157894737,6
20,-68.17,1.6,0.637,2,0,0.464,32,0.226,True,19,55,(4 7),(3 2),95.0,5.31613941321973,19.9,6
21,-70.941,1.524,0.638,0,0,0.288,32,0.207,True,20,42,(5 3),(7 7),95.238,5.405647590594227,20.952380952380953,6
22,-68.439,1.455,0.636,0,0,0.271,32,0.217,True,21,7,(3 7),(1 2),95.455,4.916956136595874,20.318181818181817,6
23,-67.703,1.391,0.632,0,0,0.237,32,0.228,True,22,17,(8 3),(2 0),95.652,5.1360496456166915,20.17391304347826,6
24,-65.135,1.333,0.629,0,0,0.229,32,0.228,True,23,5,(2 2),(1 2),95.833,5.4788924487066994,19.541666666666668,6
