episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-83.463,3.0,0.32,3,0,0,3,0.182,True,1,33,(7 2),(1 1),100.0,213.56748163310087,33.0,1
2,-47.296,1.5,0.358,0,0,0.429,3,0.225,True,2,7,(1 4),(3 7),100.0,659.6173503750906,20.0,1
3,-46.422,2.0,0.611,3,0,0.857,6,0.304,True,3,29,(1 6),(0 3),100.0,760.0928510858016,23.0,3
4,-85.46,1.75,1.018,1,0,1.0,7,0.233,True,4,51,(3 0),(7 8),100.0,131.45987402282918,30.0,4
5,-73.633,1.8,0.952,2,0,1.286,9,0.235,True,5,12,(4 7),(7 2),100.0,301.8803603506694,26.4,5
6,-63.753,1.667,0.935,1,0,1.429,10,0.229,True,6,8,(5 5),(5 1),100.0,350.52131578960115,23.333333333333332,5
7,-84.198,2.0,1.922,4,0,2.0,14,0.291,True,7,87,(1 1),(7 0),100.0,486.83471052762906,32.42857142857143,7
8,-77.82,1.875,1.857,1,0,2.143,15,0.287,True,8,10,(7 0),(1 4),100.0,460.12909076431646,29.625,7
9,-75.443,1.889,1.755,2,0,2.429,17,0.281,True,9,16,(0 7),(7 2),100.0,491.145479099587,28.11111111111111,7
10,-68.382,1.8,1.736,1,0,2.571,18,0.279,True,10,5,(2 6),(3 4),100.0,376.56497886043155,25.8,7
11,-64.077,1.636,1.679,0,0,1.0,18,0.283,True,11,11,(4 4),(3 0),100.0,155.79529895212238,24.454545454545453,7
12,-67.266,1.5,1.608,0,0,0.277,18,0.316,True,12,47,(4 3),(0 3),100.0,702.9344020547992,26.333333333333332,7
13,-64.532,1.462,1.554,1,0,0.292,19,0.325,True,13,13,(8 1),(3 5),100.0,504.57582840331605,25.307692307692307,8
14,-63.67,1.357,1.48,0,0,0.224,19,0.335,True,14,20,(8 6),(4 6),100.0,342.2102538851569,24.928571428571427,8
15,-69.757,1.267,1.542,0,0,0.128,19,0.313,True,15,63,(6 7),(7 2),100.0,181.099859716801,27.466666666666665,8
16,-65.922,1.188,1.532,0,0,0.124,19,0.314,True,16,5,(1 6),(3 3),100.0,486.0284227230609,26.0625,8
17,-63.288,1.118,1.51,0,0,0.116,19,0.322,True,17,11,(7 4),(5 1),100.0,499.63372692673653,25.176470588235293,8
18,-62.336,1.111,1.476,1,0,0.122,20,0.326,True,18,14,(0 0),(2 7),100.0,780.3143675194134,24.555555555555557,9
19,-59.639,1.105,1.458,1,0,0.128,21,0.321,True,19,6,(4 7),(0 5),100.0,712.4219285867623,23.57894736842105,9
20,-57.157,1.1,1.446,1,0,0.134,22,0.32,True,20,5,(6 8),(1 8),100.0,482.84648516173877,22.65,9
21,-55.986,1.095,1.421,1,0,0.14,23,0.317,True,21,10,(1 8),(5 2),100.0,451.7659449281816,22.047619047619047,9
22,-54.375,1.091,1.393,1,0,0.146,24,0.321,True,22,14,(4 5),(5 8),100.0,502.7173690544544,21.681818181818183,10
23,-52.054,1.043,1.392,0,0,0.145,24,0.319,True,23,2,(3 5),(4 4),100.0,239.25063471476722,20.82608695652174,10
24,-50.211,1.0,1.384,0,0,0.14,24,0.318,True,24,5,(6 1),(4 4),100.0,467.3437334264255,20.166666666666668,10
25,-48.671,0.96,1.374,0,0,0.135,24,0.318,True,25,7,(5 1),(4 3),100.0,331.3053120019021,19.64,10
26,-47.749,0.923,1.348,0,0,0.126,24,0.318,True,26,12,(5 7),(6 2),100.0,365.9500313415499,19.346153846153847,10
27,-49.817,0.889,1.348,0,0,0.1,24,0.336,True,27,50,(3 7),(2 0),100.0,634.605962799977,20.48148148148148,10
28,-48.145,0.857,1.349,0,0,0.099,24,0.336,True,28,3,(3 2),(3 5),100.0,789.5786077757626,19.857142857142858,10
29,-47.304,0.828,1.334,0,0,0.095,24,0.336,True,29,10,(6 0),(2 2),100.0,178.496506026883,19.517241379310345,10
30,-46.834,0.8,1.296,0,0,0.088,24,0.333,True,30,20,(7 3),(5 7),100.0,351.5655726467058,19.533333333333335,10
31,-51.896,0.806,1.246,1,0,0.092,25,0.318,True,31,83,(7 2),(7 8),100.0,351.1308060725336,21.580645161290324,10
32,-50.438,0.781,1.246,0,0,0.09,25,0.318,True,32,4,(0 5),(1 2),100.0,909.9884442553017,21.03125,10
33,-49.256,0.758,1.24,0,0,0.088,25,0.321,True,33,6,(0 4),(4 6),100.0,471.2880343788293,20.575757575757574,10
34,-47.961,0.735,1.25,0,0,0.087,25,0.319,True,34,5,(8 6),(8 7),100.0,163.14833442865836,20.11764705882353,10
35,-47.346,0.714,1.239,0,0,0.083,25,0.322,True,35,12,(3 4),(0 5),100.0,643.0840878965176,19.885714285714286,10
36,-46.841,0.694,1.224,0,0,0.08,25,0.325,True,36,11,(7 2),(1 5),100.0,544.9845935614483,19.63888888888889,10
37,-46.131,0.676,1.217,0,0,0.078,25,0.327,True,37,8,(2 0),(3 5),100.0,534.5091768189196,19.324324324324323,10
38,-47.364,0.658,1.172,0,0,0.071,25,0.333,True,38,32,(8 6),(1 4),100.0,457.0362832444968,19.657894736842106,10
39,-46.274,0.641,1.171,0,0,0.07,25,0.334,True,39,5,(1 1),(3 2),100.0,310.33912893848935,19.28205128205128,10
40,-45.313,0.65,1.163,1,0,0.073,26,0.339,True,40,8,(0 4),(1 3),100.0,721.7007037958255,19.0,11
41,-44.908,0.634,1.152,0,0,0.071,26,0.341,True,41,9,(8 4),(1 6),100.0,494.0149479262019,18.75609756097561,11
42,-44.178,0.619,1.151,0,0,0.07,26,0.341,True,42,7,(2 1),(3 3),100.0,493.0447439161445,18.476190476190474,11
43,-43.287,0.605,1.148,0,0,0.069,26,0.341,True,43,6,(5 5),(6 6),100.0,440.17801677726715,18.186046511627907,11
44,-43.337,0.591,1.136,0,0,0.065,26,0.345,True,44,21,(2 1),(1 3),100.0,598.7152320690849,18.25,11
45,-42.674,0.6,1.127,1,0,0.068,27,0.343,True,45,8,(4 6),(8 4),100.0,313.98580762964315,18.022222222222222,12
46,-41.968,0.587,1.123,0,0,0.067,27,0.342,True,46,7,(0 5),(4 4),100.0,514.2871810736459,17.782608695652176,12
