episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-15.247,0.0,0.616,0,0,0,0,0.0,True,1,9,(5 6),(1 8),100.0,4.932374158188926,9.0,0
2,-11.656,1.0,0.697,2,0,0.222,2,0.071,True,2,5,(7 6),(5 3),100.0,4.7717309276995685,7.0,1
3,-17.054,0.667,0.542,0,0,0.111,2,0.0,True,3,9,(1 5),(8 7),100.0,4.699224354398148,7.666666666666667,1
4,-54.104,0.5,0.524,0,0,0.026,2,0.037,True,4,59,(4 7),(6 4),100.0,5.1453270963590425,20.5,1
5,-82.646,1.2,0.71,4,0,0.078,6,0.106,True,5,41,(6 0),(6 7),100.0,5.315237077780524,24.6,3
6,-82.506,1.167,0.65,1,0,0.091,7,0.085,True,6,41,(0 5),(5 5),100.0,5.0136778307288505,27.333333333333332,3
7,-98.451,1.857,0.618,6,0,0.169,13,0.119,True,7,54,(8 6),(0 6),100.0,5.140111003909152,31.142857142857142,4
8,-90.391,1.875,0.619,2,0,0.195,15,0.147,True,8,14,(0 0),(6 0),100.0,5.009411276802791,29.0,4
9,-83.291,1.889,0.629,2,0,0.221,17,0.154,True,9,9,(5 0),(1 3),100.0,5.347732492867247,26.77777777777778,4
10,-110.128,2.3,0.578,6,0,0.299,23,0.275,False,9,101,(2 3),(7 0),90.0,5.237697351955983,34.2,5
11,-102.381,2.182,0.583,1,0,0.312,24,0.282,True,10,13,(5 4),(7 1),90.909,4.943129662278853,32.27272727272727,5
12,-109.355,2.083,0.573,1,0,0.325,25,0.263,True,11,40,(6 1),(1 8),91.667,5.024441340800524,32.916666666666664,5
13,-101.02,1.923,0.579,0,0,0.316,25,0.262,True,12,2,(8 6),(8 4),92.308,5.14705269923376,30.53846153846154,5
14,-96.523,1.786,0.581,0,0,0.26,25,0.251,True,13,17,(2 6),(4 5),92.857,5.298397310824508,29.571428571428573,5
15,-95.003,1.733,0.575,1,0,0.271,26,0.259,True,14,22,(2 7),(8 1),93.333,5.019247865982293,29.066666666666666,5
16,-92.228,1.75,0.564,2,0,0.292,28,0.251,True,15,22,(1 0),(3 6),93.75,5.310795256352477,28.625,5
17,-90.282,1.647,0.557,0,0,0.233,28,0.249,True,16,24,(3 1),(4 6),94.118,4.931616749815896,28.352941176470587,5
18,-85.568,1.667,0.562,2,0,0.25,30,0.248,True,17,5,(2 1),(2 2),94.444,5.073495463574184,27.055555555555557,5
19,-83.701,1.579,0.565,0,0,0.216,30,0.245,True,18,19,(2 3),(4 8),94.737,5.160038946042503,26.63157894736842,5
20,-79.566,1.5,0.568,0,0,0.213,30,0.246,True,19,2,(3 2),(2 3),95.0,5.675401773182417,25.4,5
21,-79.372,1.429,0.568,0,0,0.184,30,0.268,True,20,22,(6 0),(2 3),95.238,4.961531138241039,25.238095238095237,5
22,-78.846,1.455,0.575,2,0,0.196,32,0.259,True,21,23,(7 5),(5 7),95.455,5.162011530253328,25.136363636363637,6
23,-75.816,1.435,0.574,1,0,0.202,33,0.263,True,22,5,(1 4),(0 0),95.652,5.597692788441578,24.26086956521739,6
24,-73.439,1.375,0.572,0,0,0.191,33,0.259,True,23,10,(5 6),(2 7),95.833,5.221474417064661,23.666666666666668,6
25,-80.032,1.32,0.555,0,0,0.191,33,0.347,False,23,101,(8 1),(4 1),92.0,5.103281649596759,26.76,6
26,-78.837,1.308,0.552,1,0,0.197,34,0.341,True,24,20,(2 8),(4 4),92.308,5.083391266550649,26.5,6
27,-97.662,1.259,0.576,0,0,0.197,34,0.406,False,24,101,(1 0),(6 2),88.889,5.1117446882226485,29.25925925925926,6
28,-97.991,1.214,0.571,0,0,0.148,34,0.386,True,25,57,(4 7),(2 7),89.286,5.080136321552306,30.25,6
29,-95.798,1.172,0.572,0,0,0.14,34,0.381,True,26,13,(4 6),(2 7),89.655,5.0438775781199405,29.655172413793103,6
30,-97.158,1.267,0.566,4,0,0.156,38,0.384,True,27,51,(3 1),(0 1),90.0,5.135250562855068,30.366666666666667,6
31,-94.552,1.226,0.566,0,0,0.15,38,0.387,True,28,10,(0 6),(2 3),90.323,5.122143821984422,29.70967741935484,6
32,-97.781,1.219,0.568,1,0,0.154,39,0.389,True,29,60,(1 2),(8 5),90.625,5.162529935107638,30.65625,6
33,-97.584,1.182,0.578,0,0,0.137,39,0.389,True,30,31,(6 1),(8 4),90.909,5.146385380776734,30.666666666666668,6
34,-101.223,1.206,0.58,2,0,0.144,41,0.389,True,31,53,(4 7),(8 0),91.176,5.052817383377287,31.323529411764707,7
35,-102.126,1.229,0.581,2,0,0.151,43,0.373,True,32,52,(1 3),(1 8),91.429,5.137483005184978,31.914285714285715,8
36,-99.289,1.194,0.581,0,0,0.151,43,0.374,True,33,1,(3 2),(3 1),91.667,4.46439496154489,31.055555555555557,8
37,-97.104,1.189,0.581,1,0,0.154,44,0.379,True,34,10,(0 0),(2 1),91.892,5.270689837991911,30.486486486486488,8
38,-97.822,1.158,0.579,0,0,0.138,44,0.38,True,35,35,(3 3),(7 0),92.105,4.975796462348267,30.605263157894736,8
39,-95.722,1.128,0.581,0,0,0.133,44,0.38,True,36,10,(4 6),(2 2),92.308,4.867959832292989,30.076923076923077,8
40,-96.004,1.1,0.579,0,0,0.12,44,0.372,True,37,38,(0 6),(3 3),92.5,5.179088997084559,30.275,8
41,-93.687,1.073,0.581,0,0,0.119,44,0.372,True,38,2,(2 7),(3 8),92.683,5.060033624801907,29.585365853658537,8
42,-91.648,1.048,0.581,0,0,0.117,44,0.37,True,39,5,(0 4),(3 6),92.857,5.204402571844467,29.0,8
43,-96.398,1.023,0.581,0,0,0.094,44,0.384,True,40,93,(5 4),(0 4),93.023,5.083738971599235,30.488372093023255,8
44,-94.313,1.0,0.583,0,0,0.093,44,0.384,True,41,4,(6 0),(8 0),93.182,4.72168960124299,29.886363636363637,8
45,-93.134,1.0,0.583,1,0,0.095,45,0.38,True,42,18,(1 6),(8 5),93.333,5.063657637029383,29.622222222222224,8
46,-97.623,1.0,0.577,1,0,0.097,46,0.383,True,43,69,(6 2),(2 6),93.478,5.130173529169287,30.47826086956522,9
47,-95.786,0.979,0.579,0,0,0.096,46,0.384,True,44,8,(1 2),(1 4),93.617,4.968209687497798,30.0,9
48,-94.348,0.958,0.578,0,0,0.093,46,0.382,True,45,15,(5 2),(6 4),93.75,5.052215044400664,29.6875,9
49,-94.858,0.939,0.57,0,0,0.084,46,0.391,True,46,53,(8 0),(5 2),93.878,5.292144826636357,30.163265306122447,9
50,-95.437,0.92,0.566,0,0,0.076,46,0.395,True,47,57,(5 5),(5 2),94.0,5.069689267881185,30.7,9
51,-95.825,0.902,0.566,0,0,0.072,46,0.392,True,48,38,(4 8),(2 8),94.118,5.0557353757652885,30.84313725490196,9
52,-94.223,0.885,0.566,0,0,0.071,46,0.392,True,49,6,(4 8),(3 3),94.231,4.775918202134881,30.365384615384617,9
53,-101.609,0.868,0.591,0,0,0.071,46,0.401,False,49,101,(8 1),(6 5),92.453,5.243567010567476,31.69811320754717,9
54,-102.632,0.852,0.588,0,0,0.067,46,0.4,True,50,41,(6 0),(0 6),92.593,5.2146634195443955,31.87037037037037,9
55,-104.813,0.836,0.576,0,0,0.067,46,0.394,False,50,101,(7 5),(7 3),90.909,5.011044932195333,33.127272727272725,9
56,-105.064,0.839,0.578,1,0,0.068,47,0.388,True,51,48,(5 4),(7 8),91.071,4.964496093693677,33.392857142857146,9
57,-105.867,0.825,0.576,0,0,0.064,47,0.383,True,52,47,(8 4),(1 6),91.228,5.0346047634671915,33.63157894736842,9
58,-104.486,0.828,0.576,1,0,0.065,48,0.382,True,53,12,(6 7),(3 2),91.379,5.231497423971844,33.258620689655174,9
59,-104.359,0.814,0.572,0,0,0.063,48,0.384,True,54,26,(2 7),(8 1),91.525,4.92631529729904,33.13559322033898,9
60,-104.048,0.8,0.571,0,0,0.061,48,0.382,True,55,28,(1 7),(2 1),91.667,4.992476023194835,33.05,9
61,-102.502,0.787,0.571,0,0,0.06,48,0.382,True,56,6,(1 3),(3 1),91.803,5.268911676059296,32.60655737704918,9
62,-105.043,0.774,0.569,0,0,0.057,48,0.389,True,57,42,(8 0),(1 5),91.935,5.143783031825504,32.75806451612903,9
63,-104.116,0.762,0.57,0,0,0.056,48,0.387,True,58,19,(2 5),(8 4),92.063,5.080654450364542,32.53968253968254,9
64,-104.881,0.75,0.567,0,0,0.054,48,0.387,True,59,35,(8 4),(3 3),92.188,5.060276216430717,32.578125,9
65,-104.049,0.738,0.567,0,0,0.053,48,0.385,True,60,17,(8 8),(2 7),92.308,4.918890683679239,32.33846153846154,9
66,-105.882,0.727,0.573,0,0,0.049,48,0.38,True,61,62,(5 2),(7 8),92.424,5.130786578174349,32.78787878787879,9
67,-104.48,0.716,0.573,0,0,0.049,48,0.38,True,62,6,(5 7),(6 2),92.537,4.682415355092021,32.38805970149254,9
68,-103.047,0.706,0.574,0,0,0.049,48,0.379,True,63,6,(1 7),(3 5),92.647,5.297694956641073,32.0,9
69,-102.897,0.725,0.571,2,0,0.051,50,0.373,True,64,35,(0 6),(6 7),92.754,5.248583894438224,32.04347826086956,10
70,-102.395,0.714,0.57,0,0,0.049,50,0.371,True,65,29,(1 4),(3 3),92.857,5.02222263340549,32.0,10
71,-100.953,0.704,0.571,0,0,0.049,50,0.37,True,66,1,(2 6),(3 6),92.958,4.234399069470652,31.56338028169014,10
72,-100.506,0.694,0.573,0,0,0.048,50,0.373,True,67,28,(7 1),(6 2),93.056,5.422151115710342,31.51388888888889,10
73,-100.336,0.685,0.571,0,0,0.047,50,0.375,True,68,23,(3 5),(7 0),93.151,5.150542529278468,31.397260273972602,10
74,-100.41,0.676,0.573,0,0,0.045,50,0.367,True,69,52,(4 5),(0 8),93.243,5.219062648270991,31.675675675675677,10
75,-100.559,0.693,0.577,2,0,0.047,52,0.363,True,70,39,(6 7),(8 8),93.333,5.130884363854468,31.773333333333333,11
76,-99.235,0.684,0.578,0,0,0.047,52,0.363,True,71,1,(3 4),(3 3),93.421,4.972734993305341,31.36842105263158,11
77,-99.201,0.675,0.576,0,0,0.045,52,0.367,True,72,42,(1 0),(5 3),93.506,5.245009270396352,31.506493506493506,11
78,-98.12,0.667,0.578,0,0,0.044,52,0.369,True,73,13,(5 0),(6 1),93.59,5.042249107208169,31.26923076923077,11
79,-96.944,0.658,0.578,0,0,0.044,52,0.368,True,74,4,(5 4),(3 4),93.671,5.356311048914832,30.924050632911392,11
80,-95.733,0.65,0.579,0,0,0.044,52,0.368,True,75,1,(1 7),(1 8),93.75,5.044742548089601,30.55,11
81,-96.014,0.642,0.578,0,0,0.043,52,0.367,True,76,43,(1 4),(3 3),93.827,5.207763781021351,30.703703703703702,11
82,-95.385,0.646,0.576,1,0,0.043,53,0.366,True,77,15,(3 5),(8 5),93.902,5.019567694077856,30.51219512195122,11
83,-94.407,0.639,0.577,0,0,0.043,53,0.366,True,78,7,(1 4),(2 2),93.976,5.134639859111375,30.228915662650603,11
84,-93.457,0.631,0.577,0,0,0.043,53,0.367,True,79,7,(6 2),(2 1),94.048,4.924752712964517,29.952380952380953,11
85,-93.181,0.624,0.577,0,0,0.042,53,0.367,True,80,39,(5 2),(4 1),94.118,5.276682828703597,30.058823529411764,11
86,-97.747,0.616,0.577,0,0,0.042,53,0.383,False,80,101,(7 1),(1 2),93.023,5.141257662516398,30.88372093023256,11
87,-97.507,0.609,0.576,0,0,0.041,53,0.385,True,81,27,(1 2),(8 2),93.103,5.209102064615761,30.839080459770116,11
88,-96.495,0.602,0.576,0,0,0.041,53,0.384,True,82,7,(5 5),(5 4),93.182,5.044811168649411,30.568181818181817,11
89,-97.211,0.607,0.577,1,0,0.041,54,0.382,True,83,36,(7 3),(4 8),93.258,5.217301307442033,30.629213483146067,12
90,-96.584,0.6,0.577,0,0,0.041,54,0.38,True,84,18,(1 4),(3 6),93.333,5.4149802785458725,30.488888888888887,12
91,-95.58,0.593,0.577,0,0,0.041,54,0.38,True,85,4,(4 7),(3 4),93.407,4.8425061750373875,30.197802197802197,12
92,-95.963,0.587,0.575,0,0,0.039,54,0.377,True,86,50,(8 7),(3 8),93.478,5.229508487135799,30.41304347826087,12
93,-95.555,0.581,0.575,0,0,0.039,54,0.377,True,87,16,(8 7),(3 2),93.548,5.051310452700992,30.258064516129032,12
94,-95.113,0.574,0.575,0,0,0.038,54,0.375,True,88,20,(0 6),(4 4),93.617,5.1083795888596,30.148936170212767,12
