episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-38.212,2.0,0.132,2,0,0,2,0.1,True,1,10,(0 3),(8 1),100.0,331.4405596091808,10.0,2
2,-27.441,2.0,0.54,2,0,0,4,0.19,True,2,11,(2 4),(0 0),100.0,455.6076867856375,10.5,2
3,-30.223,1.333,0.521,0,0,0.4,4,0.194,True,3,10,(6 1),(6 7),100.0,158.12685605239872,10.333333333333334,2
4,-26.645,1.0,0.445,0,0,0.2,4,0.22,True,4,10,(3 3),(6 0),100.0,163.30945780370453,10.25,2
5,-21.916,1.0,0.467,1,0,0.25,5,0.227,True,5,3,(0 3),(0 6),100.0,605.5428856442613,8.8,2
6,-28.688,1.0,0.463,1,0,0.3,6,0.288,True,6,22,(5 1),(2 8),100.0,709.2599973958866,11.0,3
7,-43.188,1.286,0.436,3,0,0.45,9,0.318,True,7,66,(8 5),(6 3),100.0,412.53975351304007,18.857142857142858,4
8,-39.214,1.125,0.462,0,0,0.333,9,0.302,True,8,7,(6 0),(5 3),100.0,389.2168637097992,17.375,4
9,-35.662,1.0,0.476,0,0,0.265,9,0.295,True,9,7,(7 7),(5 6),100.0,357.46789363232307,16.22222222222222,4
10,-34.19,0.9,0.471,0,0,0.214,9,0.299,True,10,8,(2 5),(8 7),100.0,372.1034827674263,15.4,4
11,-49.196,0.909,0.483,1,0,0.238,10,0.277,True,11,88,(4 4),(8 3),100.0,353.57874959314717,22.0,5
12,-47.543,0.917,0.497,1,0,0.262,11,0.281,True,12,14,(2 6),(4 6),100.0,668.0609357568685,21.333333333333332,5
13,-63.04,1.385,0.513,7,0,0.429,18,0.263,False,12,101,(1 7),(2 4),92.308,345.44510666635404,27.46153846153846,8
14,-60.472,1.286,0.519,0,0,0.36,18,0.266,True,13,8,(7 0),(5 6),92.857,227.37893487296967,26.071428571428573,8
15,-82.65,1.2,0.5,0,0,0.36,18,0.255,False,13,101,(8 2),(0 2),86.667,156.8978545166463,31.066666666666666,8
16,-78.276,1.312,0.505,3,0,0.42,21,0.26,True,14,11,(7 5),(8 7),87.5,896.542374105682,29.8125,10
17,-73.813,1.235,0.505,0,0,0.396,21,0.265,True,15,3,(2 5),(1 3),88.235,691.5074240692371,28.235294117647058,10
18,-69.879,1.167,0.512,0,0,0.375,21,0.265,True,16,3,(8 5),(7 3),88.889,503.17397708324916,26.833333333333332,10
19,-67.779,1.105,0.512,0,0,0.296,21,0.259,True,17,15,(3 5),(6 3),89.474,0.012790772801279892,26.210526315789473,10
20,-69.329,1.05,0.498,0,0,0.206,21,0.251,True,18,31,(3 1),(5 6),90.0,183.4310422669986,26.45,10
21,-68.2,1.095,0.503,2,0,0.225,23,0.247,True,19,14,(0 0),(5 4),90.476,152.56907908402516,25.857142857142858,10
22,-67.516,1.091,0.494,1,0,0.235,24,0.251,True,20,18,(8 8),(6 0),90.909,618.3531007832901,25.5,10
23,-65.077,1.043,0.498,0,0,0.222,24,0.249,True,21,6,(7 3),(4 6),91.304,101.04722850280889,24.652173913043477,10
24,-84.782,1.0,0.472,0,0,0.222,24,0.269,False,21,101,(1 0),(2 8),87.5,500.60564228099645,27.833333333333332,10
25,-85.029,1.08,0.467,3,0,0.25,27,0.268,True,22,31,(5 1),(8 7),88.0,307.2932137260511,27.96,11
26,-90.036,1.038,0.45,0,0,0.129,27,0.249,True,23,101,(5 0),(4 4),88.462,83.69979168502445,30.76923076923077,11
27,-90.51,1.037,0.442,1,0,0.134,28,0.244,True,24,32,(4 7),(3 0),88.889,201.19446470648586,30.814814814814813,11
28,-90.489,1.036,0.439,1,0,0.139,29,0.243,True,25,21,(8 8),(0 3),89.286,384.9702939385717,30.464285714285715,11
29,-87.684,1.0,0.442,0,0,0.136,29,0.244,True,26,5,(1 4),(5 5),89.655,476.034885324805,29.586206896551722,11
30,-92.445,1.0,0.421,1,0,0.14,30,0.238,False,26,101,(5 2),(3 3),86.667,262.37236890571177,31.966666666666665,12
31,-91.163,1.0,0.422,1,0,0.145,31,0.243,True,27,21,(8 1),(3 5),87.097,489.06238442987234,31.612903225806452,12
32,-89.632,0.969,0.421,0,0,0.135,31,0.245,True,28,15,(1 0),(7 3),87.5,169.79989874524398,31.09375,12
33,-91.567,0.939,0.437,0,0,0.115,31,0.247,True,29,40,(0 2),(8 3),87.879,394.5084400672419,31.363636363636363,12
34,-89.523,0.912,0.434,0,0,0.111,31,0.25,True,30,11,(1 4),(3 1),88.235,239.85563573013187,30.764705882352942,12
35,-91.225,0.886,0.437,0,0,0.096,31,0.25,True,31,42,(7 2),(3 2),88.571,331.7010345427629,31.085714285714285,12
36,-93.604,0.861,0.43,0,0,0.086,31,0.243,True,32,39,(6 0),(4 7),88.889,101.78457433731688,31.305555555555557,12
37,-112.279,0.838,0.4,0,0,0.086,31,0.25,False,32,101,(0 2),(8 5),86.486,442.26797746860024,33.189189189189186,12
38,-109.722,0.842,0.4,1,0,0.089,32,0.252,True,33,9,(3 5),(0 5),86.842,784.5948241701358,32.55263157894737,13
39,-108.356,0.821,0.398,0,0,0.084,32,0.256,True,34,19,(7 7),(0 5),87.179,726.4328150662789,32.205128205128204,13
40,-113.834,0.8,0.393,0,0,0.084,32,0.265,False,34,101,(1 3),(3 5),85.0,497.8511266343636,33.925,13
41,-115.696,0.78,0.388,0,0,0.07,32,0.269,True,35,76,(7 3),(5 2),85.366,415.5426522030818,34.951219512195124,13
42,-113.225,0.762,0.391,0,0,0.069,32,0.271,True,36,6,(1 7),(6 8),85.714,900.0502524279797,34.26190476190476,13
43,-116.428,0.744,0.411,0,0,0.059,32,0.27,True,37,79,(3 1),(0 1),86.047,145.50910445819238,35.30232558139535,13
44,-113.998,0.727,0.412,0,0,0.058,32,0.273,True,38,8,(4 7),(5 8),86.364,906.8845094852275,34.68181818181818,13
45,-111.858,0.711,0.415,0,0,0.057,32,0.273,True,39,10,(5 3),(2 4),86.667,319.085042037864,34.13333333333333,13
46,-109.426,0.696,0.416,0,0,0.057,32,0.273,True,40,1,(3 7),(4 7),86.957,1108.7902352208791,33.41304347826087,13
47,-108.455,0.681,0.418,0,0,0.055,32,0.273,True,41,18,(1 3),(5 0),87.234,205.58935154331135,33.08510638297872,13
48,-108.015,0.667,0.424,0,0,0.051,32,0.279,True,42,46,(6 1),(8 1),87.5,521.9754021342052,33.354166666666664,13
49,-107.423,0.653,0.422,0,0,0.048,32,0.275,True,43,37,(3 3),(6 3),87.755,153.810870715544,33.42857142857143,13
50,-105.425,0.66,0.424,1,0,0.05,33,0.274,True,44,5,(3 7),(5 4),88.0,260.64364722553813,32.86,13
51,-111.478,0.647,0.409,0,0,0.05,33,0.264,False,44,101,(7 2),(2 6),86.275,105.71639832228615,34.19607843137255,13
52,-109.747,0.635,0.41,0,0,0.049,33,0.263,True,45,11,(5 4),(7 5),86.538,91.94381803266243,33.75,13
53,-107.865,0.623,0.411,0,0,0.049,33,0.263,True,46,5,(0 7),(5 7),86.792,590.9029304553433,33.20754716981132,13
54,-107.245,0.611,0.409,0,0,0.047,33,0.262,True,47,22,(2 0),(7 4),87.037,165.22912966648525,33.0,13
55,-107.415,0.6,0.408,0,0,0.045,33,0.261,True,48,35,(3 7),(8 1),87.273,319.7252277165707,33.03636363636364,13
56,-106.289,0.589,0.408,0,0,0.044,33,0.261,True,49,14,(5 2),(8 5),87.5,136.55875910834658,32.69642857142857,13
57,-104.477,0.596,0.408,1,0,0.045,34,0.261,True,50,3,(0 5),(1 3),87.719,577.652258351689,32.175438596491226,13
58,-104.246,0.586,0.407,0,0,0.044,34,0.262,True,51,24,(0 0),(8 5),87.931,316.01849309746575,32.03448275862069,13
59,-115.726,0.576,0.395,0,0,0.044,34,0.265,False,51,101,(0 0),(7 7),86.441,448.5866210246098,33.20338983050848,13
60,-123.444,0.567,0.383,0,0,0.044,34,0.26,False,51,101,(3 1),(0 7),85.0,95.290470388316,34.333333333333336,13
61,-121.685,0.574,0.382,1,0,0.045,35,0.26,True,52,8,(1 7),(0 2),85.246,695.4755194978203,33.90163934426229,14
62,-120.297,0.565,0.384,0,0,0.044,35,0.26,True,53,15,(1 4),(7 3),85.484,131.0913290366091,33.596774193548384,14
63,-118.541,0.556,0.383,0,0,0.044,35,0.26,True,54,9,(0 1),(1 3),85.714,369.72691207018664,33.20634920634921,14
64,-117.891,0.547,0.39,0,0,0.043,35,0.262,True,55,27,(0 0),(3 3),85.938,284.5474855982698,33.109375,14
65,-116.186,0.538,0.391,0,0,0.042,35,0.262,True,56,6,(0 1),(1 3),86.154,302.4249882388995,32.69230769230769,14
66,-123.392,0.53,0.376,0,0,0.042,35,0.257,False,56,101,(5 0),(2 8),84.848,83.020369778472,33.72727272727273,14
67,-122.004,0.522,0.377,0,0,0.042,35,0.258,True,57,11,(7 3),(1 6),85.075,303.0043382828772,33.38805970149254,14
68,-128.07,0.515,0.373,0,0,0.042,35,0.27,False,57,101,(1 8),(1 0),83.824,615.6651409785953,34.38235294117647,14
69,-126.229,0.507,0.375,0,0,0.042,35,0.27,True,58,2,(5 6),(4 5),84.058,505.1639209340802,33.91304347826087,14
70,-124.577,0.5,0.376,0,0,0.041,35,0.27,True,59,6,(5 1),(3 1),84.286,345.0284776047835,33.51428571428571,14
71,-131.216,0.493,0.372,0,0,0.041,35,0.271,False,59,101,(1 1),(6 5),83.099,427.34179688641564,34.46478873239437,14
72,-129.561,0.486,0.372,0,0,0.041,35,0.272,True,60,9,(7 5),(7 8),83.333,801.3038906085039,34.111111111111114,14
73,-129.942,0.479,0.369,0,0,0.038,35,0.27,True,61,63,(1 7),(3 1),83.562,272.51767937432584,34.50684931506849,14
74,-128.2,0.473,0.371,0,0,0.038,35,0.271,True,62,2,(3 7),(5 7),83.784,966.6636640547576,34.067567567567565,14
75,-126.819,0.467,0.372,0,0,0.037,35,0.271,True,63,14,(2 4),(6 6),84.0,245.4151012631596,33.8,14
76,-125.343,0.474,0.374,1,0,0.038,36,0.27,True,64,9,(7 3),(5 4),84.211,169.87419485624943,33.473684210526315,14
77,-129.266,0.468,0.382,0,0,0.038,36,0.281,False,64,101,(1 7),(0 1),83.117,640.3671100444177,34.35064935064935,14
78,-127.768,0.462,0.383,0,0,0.038,36,0.282,True,65,7,(8 3),(7 7),83.333,692.2831024002401,34.0,14
79,-130.13,0.456,0.386,0,0,0.038,36,0.278,False,65,101,(5 1),(0 1),82.278,118.97435574042537,34.848101265822784,14
80,-132.234,0.45,0.379,0,0,0.038,36,0.273,False,65,101,(4 1),(2 5),81.25,72.53940015567392,35.675,14
81,-131.711,0.444,0.376,0,0,0.037,36,0.272,True,66,29,(7 2),(3 7),81.481,338.66423275122884,35.592592592592595,14
82,-130.358,0.439,0.375,0,0,0.037,36,0.271,True,67,11,(3 2),(2 0),81.707,35.04095528944797,35.292682926829265,14
83,-128.882,0.434,0.375,0,0,0.036,36,0.272,True,68,5,(1 6),(4 8),81.928,723.0403427974447,34.9277108433735,14
84,-133.515,0.429,0.37,0,0,0.036,36,0.284,False,68,101,(1 7),(0 0),80.952,621.4601963512665,35.714285714285715,14
85,-132.381,0.424,0.37,0,0,0.036,36,0.285,True,69,13,(7 8),(0 5),81.176,879.429326546823,35.44705882352941,14
86,-137.904,0.419,0.364,0,0,0.036,36,0.294,False,69,101,(0 6),(3 0),80.233,661.0516932385973,36.2093023255814,14
87,-136.457,0.414,0.364,0,0,0.036,36,0.294,True,70,7,(7 7),(8 3),80.46,637.3885459424042,35.87356321839081,14
88,-139.771,0.409,0.359,0,0,0.036,36,0.289,False,70,101,(6 1),(1 6),79.545,77.24669045395964,36.61363636363637,14
89,-141.249,0.404,0.361,0,0,0.034,36,0.292,True,71,61,(7 4),(2 0),79.775,411.18285439603886,36.8876404494382,14
90,-140.458,0.4,0.361,0,0,0.033,36,0.29,True,72,31,(6 3),(0 7),80.0,115.53662510046665,36.82222222222222,14
91,-140.55,0.396,0.377,0,0,0.031,36,0.293,True,73,66,(6 3),(0 1),80.22,304.29990757003355,37.142857142857146,14
92,-140.838,0.391,0.394,0,0,0.031,36,0.294,False,73,101,(3 8),(1 8),79.348,505.4822867413958,37.83695652173913,14
