episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-83.363,3.0,0.691,3,0,0,3,0.265,True,1,34,(8 0),(5 0),100.0,4.111529382241567,34.0,1
2,-82.831,4.5,0.563,6,0,0,9,0.25,True,2,26,(1 7),(4 2),100.0,4.181314759545258,30.0,3
3,-97.433,4.667,0.58,5,0,0,14,0.172,True,3,39,(7 7),(0 5),100.0,4.214537317459794,33.0,6
4,-97.593,4.0,0.554,2,0,0,16,0.216,True,4,26,(0 5),(6 7),100.0,4.128896527782165,31.25,6
5,-128.825,3.8,0.641,3,0,0,19,0.154,True,5,70,(5 7),(6 8),100.0,4.108776415610029,39.0,7
6,-127.964,3.167,0.668,0,0,0.576,19,0.149,True,6,33,(5 2),(7 7),100.0,4.153433369563779,38.0,7
7,-116.075,3.0,0.658,2,0,0.636,21,0.158,True,7,19,(2 8),(3 4),100.0,3.9618290050691383,35.285714285714285,8
8,-110.562,3.0,0.629,3,0,0.727,24,0.181,True,8,34,(5 6),(1 4),100.0,4.121185967976745,35.125,8
9,-118.488,3.0,0.589,3,0,0.818,27,0.231,True,9,74,(1 5),(6 4),100.0,4.187224564062106,39.44444444444444,9
10,-109.856,2.7,0.592,0,0,0.519,27,0.227,True,10,19,(3 6),(8 7),100.0,4.028070809954684,37.4,9
11,-108.278,2.455,0.573,0,0,0.3,27,0.228,True,11,38,(5 8),(2 0),100.0,4.108692111956102,37.45454545454545,9
12,-102.153,2.25,0.573,0,0,0.25,27,0.228,True,12,18,(6 6),(7 5),100.0,4.174674733756522,35.833333333333336,9
13,-103.102,2.231,0.578,2,0,0.269,29,0.222,True,13,35,(1 2),(7 6),100.0,4.210087608136726,35.76923076923077,10
14,-96.574,2.071,0.579,0,0,0.252,29,0.229,True,14,7,(3 1),(6 3),100.0,4.293083924588993,33.714285714285715,10
15,-92.57,2.133,0.59,3,0,0.278,32,0.234,True,15,24,(4 0),(5 1),100.0,4.032752196008623,33.06666666666667,11
16,-87.686,2.062,0.592,1,0,0.287,33,0.234,True,16,8,(8 5),(5 2),100.0,4.167227741881016,31.5,11
17,-88.587,2.0,0.577,1,0,0.296,34,0.254,True,17,44,(7 5),(4 4),100.0,4.096420883660446,32.23529411764706,11
18,-87.429,1.944,0.574,1,0,0.304,35,0.26,True,18,30,(1 7),(1 3),100.0,4.314816159288282,32.111111111111114,11
19,-84.206,1.842,0.58,0,0,0.285,35,0.259,True,19,8,(2 2),(7 1),100.0,3.999348591527979,30.842105263157894,11
20,-82.924,1.8,0.576,1,0,0.293,36,0.278,True,20,29,(5 5),(3 4),100.0,4.018275977637507,30.75,11
21,-82.69,1.762,0.595,1,0,0.301,37,0.287,True,21,23,(1 2),(0 8),100.0,3.951732096416268,30.38095238095238,11
22,-84.163,1.773,0.585,2,0,0.317,39,0.3,True,22,39,(7 6),(7 3),100.0,4.007692734372572,30.772727272727273,12
23,-83.561,1.696,0.585,0,0,0.258,39,0.298,True,23,28,(8 1),(4 1),100.0,4.0644474705094575,30.652173913043477,12
24,-82.537,1.667,0.584,1,0,0.265,40,0.305,True,24,27,(6 3),(4 4),100.0,3.995432536511189,30.5,12
25,-82.025,1.68,0.586,2,0,0.278,42,0.307,True,25,24,(6 7),(5 0),100.0,4.003374429964534,30.24,12
26,-88.531,1.615,0.584,0,0,0.187,42,0.296,True,26,74,(8 1),(1 0),100.0,4.19281679106208,31.923076923076923,12
27,-86.95,1.556,0.585,0,0,0.174,42,0.297,True,27,16,(2 5),(2 0),100.0,4.27572575016638,31.333333333333332,12
28,-85.884,1.571,0.583,2,0,0.183,44,0.284,True,28,32,(7 8),(7 7),100.0,4.128559869399836,31.357142857142858,13
29,-84.41,1.517,0.593,0,0,0.171,44,0.285,True,29,16,(1 3),(0 8),100.0,4.08619478845115,30.82758620689655,13
30,-100.093,1.467,0.578,0,0,0.171,44,0.329,False,29,101,(3 6),(7 0),96.667,4.088771637361626,33.166666666666664,13
31,-101.529,1.452,0.578,1,0,0.175,45,0.322,True,30,51,(6 6),(0 3),96.774,4.1139775916272106,33.74193548387097,13
32,-101.922,1.406,0.58,0,0,0.151,45,0.316,True,31,42,(1 0),(7 3),96.875,4.15562689710336,34.0,13
33,-98.864,1.364,0.582,0,0,0.15,45,0.317,True,32,2,(1 6),(0 5),96.97,3.972330729962242,33.03030303030303,13
34,-100.658,1.353,0.583,1,0,0.153,46,0.309,True,33,53,(8 1),(6 6),97.059,4.155401603698584,33.61764705882353,14
35,-98.467,1.314,0.584,0,0,0.148,46,0.311,True,34,10,(2 2),(6 6),97.143,3.95082444453942,32.94285714285714,14
36,-100.792,1.278,0.59,0,0,0.13,46,0.31,True,35,43,(8 0),(6 6),97.222,4.16559141942377,33.22222222222222,14
37,-98.133,1.243,0.592,0,0,0.129,46,0.311,True,36,3,(0 7),(1 5),97.297,4.241211346553096,32.4054054054054,14
38,-96.428,1.211,0.593,0,0,0.125,46,0.311,True,37,10,(5 1),(5 7),97.368,3.9784783005799973,31.81578947368421,14
39,-96.263,1.205,0.594,1,0,0.128,47,0.31,True,38,31,(3 1),(0 5),97.436,4.104798538321937,31.794871794871796,15
40,-95.194,1.2,0.593,1,0,0.131,48,0.311,True,39,24,(1 4),(4 5),97.5,4.068309582522138,31.6,15
41,-96.613,1.171,0.587,0,0,0.116,48,0.316,True,40,48,(7 7),(2 3),97.561,4.187502151556216,32.0,15
42,-95.229,1.19,0.586,2,0,0.12,50,0.32,True,41,19,(4 6),(2 7),97.619,4.051457427864063,31.69047619047619,16
43,-97.453,1.163,0.578,0,0,0.106,50,0.317,True,42,58,(7 5),(2 3),97.674,4.249134111132753,32.30232558139535,16
44,-95.582,1.136,0.578,0,0,0.104,50,0.315,True,43,9,(3 1),(2 3),97.727,4.210929641139962,31.772727272727273,16
45,-94.88,1.156,0.588,2,0,0.108,52,0.314,True,44,17,(0 8),(5 8),97.778,4.1207278567161385,31.444444444444443,16
46,-95.154,1.13,0.585,0,0,0.099,52,0.311,True,45,42,(7 5),(5 7),97.826,4.062346480618954,31.67391304347826,16
47,-101.758,1.106,0.57,0,0,0.099,52,0.331,False,45,101,(5 5),(6 1),95.745,4.054330748836674,33.148936170212764,16
48,-107.159,1.083,0.588,0,0,0.086,52,0.326,True,46,84,(7 0),(0 1),95.833,4.255112111975437,34.208333333333336,16
49,-118.381,1.061,0.566,0,0,0.086,52,0.348,False,46,101,(2 5),(8 5),93.878,4.021703644179019,35.57142857142857,16
50,-117.522,1.04,0.565,0,0,0.081,52,0.349,True,47,32,(7 3),(3 3),94.0,4.17081171723163,35.5,16
51,-126.155,1.02,0.558,0,0,0.081,52,0.362,False,47,101,(6 8),(8 1),92.157,4.14206511302444,36.78431372549019,16
52,-125.219,1.0,0.556,0,0,0.077,52,0.362,True,48,32,(6 1),(2 0),92.308,4.173328410381982,36.69230769230769,16
53,-129.008,0.981,0.554,0,0,0.077,52,0.365,False,48,101,(3 1),(4 4),90.566,4.147528272569024,37.905660377358494,16
54,-127.305,1.037,0.556,4,0,0.083,56,0.364,True,49,15,(5 8),(0 8),90.741,4.082689357534405,37.48148148148148,16
55,-127.521,1.018,0.548,0,0,0.077,56,0.368,True,50,56,(0 1),(2 7),90.909,4.135673827757027,37.81818181818182,16
56,-126.592,1.0,0.546,0,0,0.075,56,0.367,True,51,21,(0 0),(8 5),91.071,4.3455442231534045,37.517857142857146,16
57,-125.755,0.982,0.548,0,0,0.073,56,0.366,True,52,23,(8 7),(8 0),91.228,4.110405868359015,37.26315789473684,16
58,-124.464,0.966,0.548,0,0,0.071,56,0.368,True,53,14,(6 8),(1 1),91.379,3.9764420683925357,36.86206896551724,16
59,-123.517,0.949,0.55,0,0,0.069,56,0.366,True,54,20,(0 6),(2 0),91.525,4.244859932628924,36.57627118644068,16
60,-132.177,0.933,0.539,0,0,0.069,56,0.377,False,54,101,(3 8),(7 2),90.0,4.13055876119301,37.65,16
61,-130.049,0.918,0.54,0,0,0.069,56,0.377,True,55,3,(1 4),(0 2),90.164,3.5937949679549046,37.08196721311475,16
62,-128.419,0.903,0.54,0,0,0.068,56,0.378,True,56,13,(2 7),(5 7),90.323,3.9756551375841904,36.693548387096776,16
63,-126.614,0.889,0.54,0,0,0.067,56,0.379,True,57,8,(2 7),(2 5),90.476,4.145045253172296,36.23809523809524,16
64,-131.502,0.875,0.544,0,0,0.067,56,0.377,False,57,101,(1 1),(4 5),89.062,4.109144274373701,37.25,16
65,-129.599,0.862,0.544,0,0,0.067,56,0.378,True,58,5,(4 7),(3 3),89.231,4.483434118834127,36.753846153846155,16
66,-127.672,0.848,0.544,0,0,0.067,56,0.378,True,59,3,(6 2),(8 3),89.394,4.0513979096147095,36.24242424242424,16
67,-126.977,0.836,0.546,0,0,0.064,56,0.374,True,60,41,(2 3),(3 1),89.552,4.242679104438524,36.3134328358209,16
68,-128.761,0.824,0.538,0,0,0.064,56,0.38,False,60,101,(3 1),(4 4),88.235,4.077211162994654,37.26470588235294,16
69,-127.626,0.812,0.538,0,0,0.062,56,0.379,True,61,26,(6 2),(1 3),88.406,3.971526714725745,37.10144927536232,16
70,-126.797,0.8,0.539,0,0,0.06,56,0.378,True,62,22,(4 1),(7 6),88.571,4.127057952982411,36.885714285714286,16
71,-128.08,0.789,0.543,0,0,0.058,56,0.375,True,63,43,(8 7),(0 5),88.732,4.1833358557063995,36.971830985915496,16
72,-130.656,0.778,0.536,0,0,0.058,56,0.379,False,63,101,(3 1),(4 5),87.5,4.103306496732574,37.861111111111114,16
73,-128.946,0.767,0.536,0,0,0.057,56,0.379,True,64,6,(3 1),(2 0),87.671,4.249084309803293,37.42465753424658,16
74,-127.767,0.757,0.538,0,0,0.056,56,0.376,True,65,28,(0 2),(2 3),87.838,4.068460770892722,37.2972972972973,16
75,-135.352,0.747,0.537,0,0,0.056,56,0.376,False,65,101,(8 1),(1 7),86.667,4.077969974797487,38.14666666666667,16
