episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-17.472,0.0,0.215,0,0,0,0,0.111,True,1,9,(6 1),(8 1),100.0,55.02046440602609,9.0,0
2,-33.833,1.5,0.314,3,0,0.333,3,0.026,True,2,30,(0 5),(2 8),100.0,169.30898089586827,19.5,1
3,-24.165,1.0,0.461,0,0,0.214,3,0.045,True,3,5,(3 7),(4 5),100.0,300.03969380658043,14.666666666666666,1
4,-20.199,0.75,0.459,0,0,0.15,3,0.06,True,4,6,(4 1),(7 2),100.0,146.55746317293122,12.5,1
5,-16.359,0.6,0.457,0,0,0.136,3,0.058,True,5,2,(0 5),(0 3),100.0,371.70105068058825,10.4,1
6,-14.604,0.5,0.459,0,0,0.107,3,0.121,True,6,6,(6 3),(7 4),100.0,682.4992507367174,9.666666666666666,1
7,-14.794,0.429,0.466,0,0,0.086,3,0.108,True,7,7,(2 2),(6 1),100.0,94.12004808962618,9.285714285714286,1
8,-14.32,0.375,0.462,0,0,0.067,3,0.093,True,8,10,(4 0),(6 0),100.0,0.01233330381292976,9.375,1
9,-25.466,0.778,0.629,4,0,0.156,7,0.11,True,9,52,(8 7),(7 8),100.0,416.2248179387281,14.11111111111111,3
10,-26.553,0.9,0.641,2,0,0.2,9,0.121,True,10,13,(4 7),(0 5),100.0,354.7108582056372,14.0,5
11,-26.096,0.818,0.636,0,0,0.17,9,0.135,True,11,8,(7 1),(4 6),100.0,675.5310486278415,13.454545454545455,5
12,-44.117,0.917,0.638,2,0,0.208,11,0.19,True,12,47,(1 8),(6 0),100.0,435.6373713070791,16.25,5
13,-41.389,0.846,0.63,0,0,0.18,11,0.192,True,13,8,(0 3),(1 4),100.0,447.68039755182775,15.615384615384615,5
14,-51.673,0.786,0.594,0,0,0.104,11,0.194,True,14,45,(8 7),(4 4),100.0,241.12251419483903,17.714285714285715,5
15,-48.494,0.733,0.605,0,0,0.1,11,0.198,True,15,4,(5 7),(3 7),100.0,420.95370391138994,16.8,5
16,-47.478,0.75,0.609,1,0,0.109,12,0.198,True,16,10,(0 8),(5 5),100.0,361.5796363836373,16.375,6
17,-53.965,0.882,0.609,3,0,0.136,15,0.193,True,17,59,(4 2),(6 5),100.0,304.2652448705988,18.88235294117647,6
18,-53.38,0.833,0.596,0,0,0.122,15,0.201,True,18,13,(2 6),(8 1),100.0,540.3919734133589,18.555555555555557,6
19,-52.864,0.842,0.574,1,0,0.13,16,0.211,True,19,22,(5 0),(1 5),100.0,453.8391204146207,18.736842105263158,7
20,-58.328,0.95,0.52,3,0,0.154,19,0.192,True,20,76,(2 0),(3 3),100.0,95.25734137949107,21.6,8
21,-62.634,0.905,0.525,0,0,0.117,19,0.195,True,21,39,(5 0),(7 8),100.0,372.72208924478184,22.428571428571427,8
22,-61.803,0.864,0.528,0,0,0.108,19,0.2,True,22,14,(4 1),(6 5),100.0,364.1459846706681,22.045454545454547,8
23,-59.918,0.826,0.529,0,0,0.102,19,0.196,True,23,11,(5 8),(2 8),100.0,0.012440408777064397,21.565217391304348,8
24,-58.426,0.792,0.531,0,0,0.094,19,0.2,True,24,15,(4 7),(5 3),100.0,477.3041324911524,21.291666666666668,8
25,-66.257,0.76,0.542,0,0,0.068,19,0.198,True,25,79,(4 2),(7 6),100.0,175.39728330990576,23.6,8
26,-64.598,0.808,0.537,2,0,0.075,21,0.202,True,26,8,(7 8),(8 1),100.0,626.6088116259738,23.0,10
27,-67.929,0.815,0.518,1,0,0.078,22,0.196,True,27,39,(1 8),(5 1),100.0,206.121687291795,23.59259259259259,11
28,-67.99,0.786,0.511,0,0,0.073,22,0.194,True,28,22,(1 3),(5 3),100.0,130.75890305780524,23.535714285714285,11
29,-68.707,0.759,0.501,0,0,0.068,22,0.2,True,29,21,(8 0),(0 3),100.0,367.4638328295184,23.448275862068964,11
30,-66.416,0.733,0.505,0,0,0.068,22,0.2,True,30,1,(2 2),(1 2),100.0,0.010844187503277215,22.7,11
31,-64.623,0.71,0.51,0,0,0.066,22,0.203,True,31,7,(5 7),(6 3),100.0,584.2843406923225,22.193548387096776,11
32,-64.177,0.688,0.507,0,0,0.064,22,0.205,True,32,13,(1 7),(7 6),100.0,283.50802660450057,21.90625,11
33,-63.586,0.667,0.5,0,0,0.061,22,0.216,True,33,13,(5 8),(8 0),100.0,769.5527077915121,21.636363636363637,11
34,-77.558,0.676,0.46,1,0,0.064,23,0.207,True,34,101,(1 7),(2 1),100.0,166.0065613754407,23.970588235294116,12
35,-75.759,0.657,0.456,0,0,0.063,23,0.208,True,35,8,(3 3),(0 4),100.0,214.5328189130861,23.514285714285716,12
36,-74.195,0.639,0.459,0,0,0.06,23,0.206,True,36,15,(1 4),(0 3),100.0,534.6807651972999,23.27777777777778,12
37,-73.035,0.622,0.458,0,0,0.058,23,0.204,True,37,16,(1 7),(4 7),100.0,66.07895952742953,23.08108108108108,12
38,-72.382,0.605,0.46,0,0,0.056,23,0.202,True,38,12,(8 7),(5 0),100.0,254.72278557390658,22.789473684210527,12
