episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-20.327,1.0,0.443,1,0,0,1,0.25,True,1,8,(1 2),(6 5),100.0,4.818739838884446,8.0,0
2,-14.078,1.0,0.644,1,0,0,2,0.133,True,2,7,(6 2),(7 2),100.0,4.8130969470060165,7.5,0
3,-9.385,0.667,0.724,0,0,2.0,2,0.125,True,3,1,(3 7),(3 8),100.0,4.005371660567792,5.333333333333333,0
4,-7.039,0.5,0.849,0,0,1.0,2,0.118,True,4,1,(0 1),(0 0),100.0,5.081995491835889,4.25,0
5,-21.533,0.8,0.639,2,0,2.0,4,0.294,True,5,34,(6 2),(6 4),100.0,4.912960997098095,10.2,1
6,-20.159,1.0,0.654,2,0,3.0,6,0.316,True,6,6,(3 7),(2 2),100.0,4.5185604776109205,9.5,2
7,-24.721,1.0,0.574,1,0,3.5,7,0.382,True,7,19,(8 8),(6 1),100.0,5.0578761395658,10.857142857142858,2
8,-23.122,1.125,0.553,2,0,4.5,9,0.366,True,8,6,(1 7),(6 8),100.0,5.536324356949532,10.25,2
9,-26.145,1.444,0.553,4,0,6.5,13,0.379,True,9,21,(1 4),(5 1),100.0,4.672180764878186,11.444444444444445,4
10,-33.86,1.6,0.508,3,0,8.0,16,0.429,True,10,37,(5 7),(7 2),100.0,5.032539058993705,14.0,5
11,-65.4,1.818,0.787,4,0,10.0,20,0.454,True,11,87,(6 4),(8 0),100.0,4.9050662494292565,20.636363636363637,7
12,-86.064,2.417,0.845,9,0,14.5,29,0.393,True,12,73,(0 0),(0 8),100.0,4.941418444759387,25.0,10
13,-90.532,2.385,0.803,2,0,15.5,31,0.38,True,13,58,(3 8),(1 7),100.0,4.995192745146322,27.53846153846154,10
14,-88.22,2.214,0.778,0,0,1.632,31,0.381,True,14,17,(2 6),(7 0),100.0,4.941443195972371,26.785714285714285,10
15,-87.444,2.067,0.782,0,0,0.585,31,0.381,True,15,34,(5 4),(7 0),100.0,5.008248931053276,27.266666666666666,10
16,-83.25,2.0,0.778,1,0,0.604,32,0.384,True,16,8,(5 6),(2 1),100.0,4.602351559828888,26.0625,10
17,-88.146,2.118,0.758,4,0,0.679,36,0.378,True,17,48,(3 2),(6 7),100.0,4.82254424826118,27.352941176470587,11
18,-88.011,2.0,0.747,0,0,0.4,36,0.378,True,18,37,(0 2),(0 3),100.0,5.175321696617833,27.88888888888889,11
19,-85.598,1.895,0.741,0,0,0.346,36,0.376,True,19,14,(1 8),(0 3),100.0,5.0140102261422115,27.157894736842106,11
20,-82.075,1.85,0.743,1,0,0.356,37,0.376,True,20,11,(2 6),(5 6),100.0,4.8600341860686855,26.35,11
21,-78.309,1.762,0.749,0,0,0.346,37,0.377,True,21,3,(4 1),(7 1),100.0,5.13112696858909,25.238095238095237,11
22,-86.353,1.818,0.677,3,0,0.374,40,0.403,False,21,101,(4 1),(4 5),95.455,4.835074753164917,28.681818181818183,12
23,-93.9,1.739,0.667,0,0,0.234,40,0.426,True,22,64,(8 6),(2 6),95.652,4.879538532638973,30.217391304347824,12
24,-90.728,1.667,0.667,0,0,0.22,40,0.431,True,23,11,(2 1),(4 0),95.833,4.966497151568536,29.416666666666668,12
25,-89.312,1.64,0.656,1,0,0.225,41,0.431,True,24,27,(3 4),(8 2),96.0,4.672908168262221,29.32,13
26,-89.978,1.577,0.645,0,0,0.192,41,0.431,True,25,32,(1 4),(6 5),96.154,4.988632581876358,29.423076923076923,13
27,-87.586,1.519,0.647,0,0,0.181,41,0.431,True,26,12,(1 0),(6 1),96.296,4.803565870312959,28.77777777777778,13
28,-85.589,1.464,0.642,0,0,0.167,41,0.425,True,27,19,(0 3),(0 5),96.429,4.76490710897461,28.428571428571427,13
29,-82.804,1.414,0.644,0,0,0.164,41,0.426,True,28,5,(6 4),(4 3),96.552,4.633015857496394,27.620689655172413,13
30,-81.446,1.4,0.639,1,0,0.168,42,0.426,True,29,21,(8 0),(5 1),96.667,5.035563138172527,27.4,13
31,-78.818,1.355,0.64,0,0,0.167,42,0.426,True,30,1,(6 7),(7 7),96.774,4.804432362907687,26.548387096774192,13
32,-78.718,1.312,0.635,0,0,0.149,42,0.431,True,31,31,(4 1),(6 6),96.875,4.8969039092400815,26.6875,13
33,-79.181,1.333,0.63,2,0,0.156,44,0.432,True,32,24,(1 2),(8 8),96.97,4.92446893544387,26.606060606060606,15
34,-86.25,1.353,0.628,2,0,0.163,46,0.44,True,33,93,(0 4),(6 8),97.059,4.83001885824633,28.558823529411764,17
35,-92.299,1.314,0.619,0,0,0.123,46,0.445,True,34,91,(3 0),(6 7),97.143,4.856412335386461,30.34285714285714,17
36,-93.121,1.361,0.611,3,0,0.131,49,0.444,True,35,56,(5 4),(7 7),97.222,4.97290570733076,31.055555555555557,18
37,-90.632,1.324,0.613,0,0,0.131,49,0.443,True,36,2,(2 2),(3 3),97.297,5.179194625448396,30.27027027027027,18
38,-91.555,1.316,0.606,1,0,0.133,50,0.443,True,37,41,(1 4),(7 5),97.368,4.826404199242419,30.55263157894737,19
39,-89.295,1.282,0.607,0,0,0.132,50,0.444,True,38,4,(5 3),(6 4),97.436,4.608985181953409,29.871794871794872,19
40,-90.14,1.275,0.607,1,0,0.135,51,0.44,True,39,43,(3 8),(8 6),97.5,5.1829436805730085,30.2,19
41,-88.431,1.244,0.608,0,0,0.13,51,0.438,True,40,12,(4 0),(7 3),97.561,5.023823759104529,29.75609756097561,19
42,-95.264,1.262,0.613,2,0,0.136,53,0.432,True,41,83,(7 7),(0 7),97.619,4.912361855751883,31.023809523809526,21
43,-94.725,1.233,0.612,0,0,0.129,53,0.434,True,42,20,(0 4),(7 1),97.674,4.955641363645162,30.767441860465116,21
44,-95.339,1.227,0.609,1,0,0.131,54,0.433,True,43,45,(1 6),(7 4),97.727,4.841514215980307,31.09090909090909,21
45,-93.296,1.2,0.611,0,0,0.13,54,0.434,True,44,4,(2 2),(1 1),97.778,4.614206714823774,30.488888888888887,21
46,-91.966,1.217,0.61,2,0,0.135,56,0.433,True,45,10,(4 5),(3 0),97.826,4.785193239103983,30.043478260869566,21
47,-92.518,1.213,0.61,1,0,0.137,57,0.432,True,46,29,(1 4),(5 1),97.872,4.745719088265615,30.02127659574468,22
48,-94.504,1.188,0.612,0,0,0.126,57,0.431,True,47,38,(5 6),(0 0),97.917,5.107735082395876,30.1875,22
49,-96.201,1.163,0.624,0,0,0.114,57,0.429,True,48,46,(0 4),(0 8),97.959,4.884301250887302,30.510204081632654,22
50,-95.002,1.14,0.623,0,0,0.111,57,0.425,True,49,14,(0 8),(6 7),98.0,4.87796164973299,30.18,22
51,-93.765,1.118,0.625,0,0,0.109,57,0.427,True,50,12,(4 7),(0 5),98.039,4.85637903517532,29.823529411764707,22
52,-93.608,1.096,0.619,0,0,0.102,57,0.423,True,51,34,(1 4),(2 6),98.077,4.930272829809524,29.903846153846153,22
53,-93.02,1.075,0.617,0,0,0.098,57,0.427,True,52,24,(1 1),(7 5),98.113,4.893849913842096,29.79245283018868,22
54,-91.533,1.056,0.618,0,0,0.096,57,0.429,True,53,9,(6 5),(6 2),98.148,4.895155743376874,29.40740740740741,22
55,-90.244,1.036,0.62,0,0,0.095,57,0.429,True,54,8,(3 4),(1 8),98.182,4.839138903538638,29.01818181818182,22
