episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-104.112,5.0,0.938,5,0,0,5,0.458,True,1,24,(7 5),(0 0),100.0,4.384834669494355,24.0,1
2,-98.094,3.5,0.719,2,0,0,7,0.393,True,2,32,(7 6),(4 7),100.0,4.381170836981091,28.0,1
3,-73.299,3.333,0.708,3,0,0,10,0.394,True,3,10,(8 5),(4 3),100.0,4.359375142779158,22.0,2
4,-87.661,3.5,0.584,4,0,0,14,0.368,True,4,48,(8 8),(2 0),100.0,4.389849906826871,28.5,4
5,-83.938,2.8,0.547,0,0,0.7,14,0.373,True,5,20,(8 7),(3 0),100.0,4.4971406635984215,26.8,4
6,-89.943,2.667,0.551,2,0,0.8,16,0.467,True,6,46,(7 1),(2 2),100.0,4.322310889711722,30.0,5
7,-107.977,3.143,0.573,6,0,1.1,22,0.474,True,7,52,(4 7),(2 6),100.0,4.3883038028810635,33.142857142857146,6
8,-112.242,3.0,0.588,2,0,1.2,24,0.408,True,8,62,(3 8),(8 8),100.0,4.443067767399068,36.75,7
9,-102.066,2.778,0.583,1,0,1.25,25,0.406,True,9,9,(3 1),(7 4),100.0,4.403591416097655,33.666666666666664,8
10,-92.101,2.5,0.583,0,0,1.087,25,0.405,True,10,3,(6 8),(8 7),100.0,4.549073538105869,30.6,8
11,-87.7,2.636,0.577,4,0,1.261,29,0.393,True,11,20,(1 5),(4 8),100.0,4.6713005809865535,29.636363636363637,9
12,-86.818,2.583,0.554,2,0,1.348,31,0.406,True,12,34,(2 7),(6 1),100.0,4.245413603547158,30.0,9
13,-82.743,2.385,0.558,0,0,0.689,31,0.416,True,13,22,(4 3),(6 1),100.0,4.296470533436012,29.384615384615383,9
14,-76.833,2.214,0.562,0,0,0.674,31,0.415,True,14,1,(3 8),(2 8),100.0,3.923741895152686,27.357142857142858,9
15,-97.282,2.067,0.566,0,0,0.674,31,0.506,False,14,101,(6 2),(2 2),93.333,4.492694969530123,32.266666666666666,9
16,-93.102,1.938,0.565,0,0,0.534,31,0.496,True,15,12,(2 8),(7 7),93.75,4.351085900725373,31.0,9
17,-106.702,2.118,0.622,5,0,0.621,36,0.511,False,15,101,(0 0),(1 5),88.235,4.373789285591362,35.11764705882353,10
18,-130.415,2.111,0.627,2,0,0.655,38,0.52,False,15,101,(8 6),(2 7),83.333,4.371541683302501,38.77777777777778,11
19,-123.945,2.0,0.629,0,0,0.603,38,0.521,True,16,5,(5 4),(3 1),84.211,4.325297201671708,37.0,11
20,-118.333,1.9,0.629,0,0,0.543,38,0.518,True,17,7,(7 5),(6 7),85.0,4.142651638198559,35.5,11
21,-117.677,1.81,0.641,0,0,0.349,38,0.533,True,18,39,(3 3),(6 0),85.714,4.471528146015677,35.666666666666664,11
22,-120.968,1.773,0.635,1,0,0.358,39,0.52,True,19,67,(2 4),(4 7),86.364,4.4293662446448,37.09090909090909,11
23,-116.665,1.696,0.633,0,0,0.331,39,0.521,True,20,9,(3 4),(7 7),86.957,4.58861966514995,35.869565217391305,11
24,-123.974,1.667,0.624,1,0,0.339,40,0.511,True,21,97,(2 4),(4 8),87.5,4.379438700385651,38.416666666666664,11
25,-121.003,1.68,0.621,2,0,0.356,42,0.503,True,22,18,(0 7),(5 4),88.0,4.314089755258424,37.6,12
26,-120.572,1.769,0.623,4,0,0.39,46,0.497,True,23,37,(1 1),(4 7),88.462,4.477274163938167,37.57692307692308,14
27,-116.64,1.704,0.621,0,0,0.365,46,0.498,True,24,8,(4 6),(2 2),88.889,4.073858066470427,36.48148148148148,14
28,-112.855,1.643,0.623,0,0,0.343,46,0.499,True,25,8,(3 4),(4 3),89.286,4.302916679562646,35.464285714285715,14
29,-109.067,1.586,0.626,0,0,0.336,46,0.499,True,26,3,(1 6),(1 3),89.655,4.565331626763066,34.3448275862069,14
30,-106.253,1.533,0.627,0,0,0.309,46,0.496,True,27,12,(6 7),(4 7),90.0,4.4030469562358165,33.6,14
31,-103.158,1.484,0.625,0,0,0.297,46,0.497,True,28,6,(1 4),(2 2),90.323,4.152920445101381,32.70967741935484,14
32,-99.966,1.438,0.626,0,0,0.293,46,0.496,True,29,2,(0 2),(1 1),90.625,4.251325481677759,31.75,14
33,-99.467,1.394,0.626,0,0,0.26,46,0.499,True,30,20,(1 7),(7 1),90.909,4.281921312519141,31.393939393939394,14
