episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-105.825,9.0,0.541,9,0,0,9,0.286,True,1,35,(5 8),(2 4),100.0,4.445669936444871,35.0,2
2,-55.912,5.0,0.629,1,0,0,10,0.231,True,2,4,(4 7),(1 6),100.0,4.038277865228081,19.5,2
3,-166.38,4.333,0.621,3,0,0,13,0.543,False,2,101,(7 4),(2 3),66.667,4.6191403994574785,46.666666666666664,3
4,-125.388,3.25,0.629,0,0,4.333,13,0.545,True,3,3,(4 3),(4 4),75.0,4.627768567382196,35.75,3
5,-137.225,2.8,0.472,1,0,4.667,14,0.619,False,3,101,(4 4),(2 1),60.0,4.648018177380152,48.8,3
6,-175.561,2.667,0.539,2,0,5.333,16,0.536,False,3,101,(3 0),(5 8),50.0,4.670709018249766,57.5,3
7,-163.496,2.857,0.53,4,0,6.667,20,0.493,True,4,26,(6 7),(0 7),57.143,4.790312273763542,53.0,4
8,-160.663,2.875,0.536,3,0,7.667,23,0.465,True,5,48,(4 8),(0 6),62.5,4.64015194124878,52.375,4
9,-183.181,2.556,0.634,0,0,7.667,23,0.533,False,5,101,(5 0),(0 1),55.556,4.727372718953906,57.77777777777778,4
10,-179.722,2.5,0.634,2,0,8.333,25,0.515,True,6,49,(4 4),(4 8),60.0,4.666314719808699,56.9,5
11,-185.172,2.545,0.589,3,0,9.333,28,0.527,False,6,101,(3 4),(3 2),54.545,4.628692942254556,60.90909090909091,7
12,-173.845,2.583,0.587,3,0,10.333,31,0.518,True,7,13,(2 6),(7 0),58.333,4.39280221684036,56.916666666666664,8
13,-166.094,2.538,0.577,2,0,11.0,33,0.512,True,8,36,(1 5),(7 7),61.538,4.620407475832046,55.30769230769231,8
14,-161.272,2.357,0.571,0,0,1.0,33,0.509,True,9,30,(1 1),(6 8),64.286,4.696276626267008,53.5,8
15,-151.132,2.267,0.571,1,0,1.03,34,0.507,True,10,5,(7 3),(6 1),66.667,4.540107680828584,50.266666666666666,9
16,-185.962,2.188,0.573,1,0,1.061,35,0.53,False,10,101,(3 2),(0 6),62.5,4.633355506009068,53.4375,9
17,-176.8,2.059,0.581,0,0,0.795,35,0.524,True,11,11,(6 8),(8 5),64.706,4.509227016457353,50.94117647058823,9
18,-175.963,2.0,0.575,1,0,0.818,36,0.531,True,12,46,(0 1),(6 0),66.667,4.588396445076502,50.666666666666664,10
19,-167.113,1.895,0.577,0,0,0.735,36,0.529,True,13,5,(7 7),(6 3),68.421,4.272899708682835,48.26315789473684,10
20,-158.807,1.8,0.579,0,0,0.706,36,0.53,True,14,2,(4 4),(3 3),70.0,4.1818450702484995,45.95,10
21,-152.293,1.714,0.582,0,0,0.562,36,0.534,True,15,13,(5 0),(7 0),71.429,4.282577142347211,44.38095238095238,10
