episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-341.947,6.0,0.626,6,0,0,6,0.248,False,0,101,(6 7),(5 4),0.0,4.2726137899915475,101.0,1
2,-173.974,3.0,0.631,0,0,1.5,6,0.257,True,1,4,(4 5),(3 2),50.0,4.473517334543848,52.5,1
3,-138.798,3.667,0.623,5,0,2.75,11,0.228,True,2,22,(6 7),(2 3),66.667,4.004528477621785,42.333333333333336,3
4,-110.373,3.0,0.601,1,0,3.0,12,0.239,True,3,11,(1 3),(7 2),75.0,4.0265171170340475,34.5,4
5,-151.419,3.4,0.601,5,0,4.25,17,0.301,False,3,101,(2 0),(2 5),60.0,4.234915158773236,47.8,6
6,-132.677,3.333,0.602,3,0,5.0,20,0.277,True,4,14,(6 2),(6 7),66.667,4.263779785879749,42.166666666666664,7
7,-161.518,3.143,0.594,2,0,5.5,22,0.329,True,5,81,(0 8),(8 1),71.429,4.30519153857,47.714285714285715,7
8,-143.217,2.875,0.6,1,0,5.75,23,0.327,True,6,8,(2 7),(3 6),75.0,4.386281919905996,42.75,7
9,-185.666,3.889,0.737,12,0,8.75,35,0.296,False,6,101,(4 4),(0 6),66.667,4.268466754016285,49.22222222222222,11
10,-167.88,3.6,0.738,1,0,9.0,36,0.29,True,7,5,(7 8),(6 4),70.0,4.455828642537981,44.8,12
11,-158.671,3.364,0.727,1,0,9.25,37,0.285,True,8,26,(6 5),(0 2),72.727,4.393483161073219,43.09090909090909,13
12,-146.606,3.083,0.73,0,0,3.083,37,0.286,True,9,8,(5 4),(2 3),75.0,4.284128520651012,40.166666666666664,13
13,-136.944,2.846,0.717,0,0,1.682,37,0.28,True,10,10,(0 6),(0 0),76.923,4.192403668136512,37.84615384615385,13
14,-153.585,2.786,0.661,2,0,1.773,39,0.298,False,10,101,(8 7),(3 3),71.429,4.126402807636584,42.357142857142854,14
15,-165.973,2.6,0.639,0,0,1.773,39,0.321,False,10,101,(8 5),(4 2),66.667,4.326108786833261,46.266666666666666,14
16,-157.658,2.625,0.639,3,0,1.909,42,0.315,True,11,17,(6 7),(8 7),68.75,4.273258268063119,44.4375,15
17,-157.827,2.706,0.607,4,0,2.091,46,0.306,True,12,74,(5 3),(8 7),70.588,4.236955144732105,46.1764705882353,17
18,-154.483,2.611,0.617,1,0,2.136,47,0.305,True,13,45,(5 4),(1 6),72.222,4.077744393947034,46.111111111111114,17
19,-148.114,2.474,0.614,0,0,1.27,47,0.308,True,14,15,(2 1),(4 4),73.684,4.388774096262744,44.473684210526315,17
20,-149.513,2.4,0.616,1,0,1.297,48,0.309,True,15,62,(4 7),(0 5),75.0,4.278681651293513,45.35,18
21,-143.203,2.286,0.612,0,0,1.021,48,0.306,True,16,10,(3 3),(0 0),76.19,4.391899263124494,43.666666666666664,18
22,-172.246,2.182,0.608,0,0,1.021,48,0.313,False,16,101,(7 4),(1 6),72.727,4.272907420809632,46.27272727272727,18
23,-166.658,2.087,0.612,0,0,0.727,48,0.312,True,17,19,(1 4),(0 5),73.913,4.222684352642392,45.08695652173913,18
