episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-66.131,3.0,0.603,3,0,0,3,0.375,True,1,16,(5 0),(0 5),100.0,4.628711851709215,16.0,0
2,-91.168,2.0,0.643,1,0,0,4,0.51,True,2,35,(3 3),(0 6),100.0,4.5486195739693684,25.5,1
3,-80.518,2.667,0.635,4,0,0,8,0.362,True,3,18,(8 1),(5 6),100.0,4.488929497989256,23.0,3
4,-68.396,2.25,0.637,1,0,0,9,0.383,True,4,12,(2 7),(5 4),100.0,4.613840158119598,20.25,3
5,-62.825,2.2,0.597,2,0,0,11,0.387,True,5,25,(5 4),(2 6),100.0,4.30809090898695,21.2,3
6,-59.631,2.167,0.584,2,0,0,13,0.375,True,6,14,(1 7),(8 4),100.0,4.354563590946852,20.0,3
7,-63.448,2.857,0.533,7,0,0,20,0.342,True,7,35,(6 1),(1 2),100.0,4.687137312088973,22.142857142857142,5
8,-60.915,2.75,0.573,2,0,0,22,0.333,True,8,19,(5 1),(8 1),100.0,4.489876001643627,21.75,7
9,-78.908,3.0,0.569,5,0,0,27,0.345,True,9,55,(5 2),(1 7),100.0,4.3373803172619345,25.444444444444443,8
10,-71.682,2.7,0.576,0,0,5.4,27,0.355,True,10,5,(1 2),(4 2),100.0,4.442087967637988,23.4,8
11,-97.289,2.727,0.623,3,0,6.0,30,0.406,True,11,91,(4 3),(0 4),100.0,4.478481101775749,29.545454545454547,9
12,-91.241,2.583,0.617,1,0,6.2,31,0.402,True,12,13,(2 4),(0 1),100.0,4.39701939649473,28.166666666666668,9
13,-84.223,2.385,0.62,0,0,5.167,31,0.401,True,13,1,(3 3),(2 3),100.0,3.6701467456064134,26.076923076923077,9
14,-82.93,2.286,0.602,1,0,5.333,32,0.427,True,14,38,(0 0),(2 3),100.0,4.474301648000394,26.928571428571427,9
15,-82.631,2.133,0.592,0,0,0.889,32,0.44,True,15,30,(3 7),(0 4),100.0,4.691617022176904,27.133333333333333,9
16,-85.452,2.188,0.597,3,0,0.972,35,0.418,True,16,26,(6 2),(1 7),100.0,4.345536609070619,27.0625,10
17,-82.769,2.059,0.593,0,0,0.673,35,0.419,True,17,16,(5 2),(3 6),100.0,4.458866460954091,26.41176470588235,10
18,-78.504,1.944,0.599,0,0,0.625,35,0.419,True,18,4,(1 4),(5 4),100.0,4.178852485065692,25.166666666666668,10
19,-74.425,1.842,0.601,0,0,0.603,35,0.418,True,19,2,(3 5),(3 3),100.0,4.424179638848761,23.94736842105263,10
20,-86.478,1.9,0.571,3,0,0.655,38,0.417,False,19,101,(7 7),(2 6),95.0,4.449424239128621,27.8,10
21,-88.642,1.857,0.584,1,0,0.672,39,0.398,True,20,40,(1 2),(7 8),95.238,4.401706103210387,28.38095238095238,10
22,-86.229,1.818,0.584,1,0,0.69,40,0.393,True,21,15,(4 3),(5 7),95.455,4.554857055251472,27.772727272727273,10
