episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-19.301,3.0,0.515,3,0,0,3,0.077,True,1,13,(0 2),(2 2),100.0,5.003877710637899,13.0,2
2,-130.579,5.0,0.414,7,0,0,10,0.289,False,1,101,(3 6),(0 0),50.0,4.968367335389372,57.0,4
3,-116.388,5.0,0.437,5,0,0,15,0.291,True,2,27,(1 4),(6 0),66.667,4.8949445589747755,47.0,5
4,-101.105,3.75,0.441,0,0,1.071,15,0.329,True,3,14,(6 7),(0 3),75.0,5.136697506404222,38.75,5
5,-92.801,3.2,0.452,1,0,1.143,16,0.331,True,4,26,(5 2),(1 2),80.0,4.835123421943616,36.2,6
6,-98.151,3.167,0.458,3,0,1.357,19,0.327,True,5,21,(8 0),(1 6),83.333,5.207314857727514,33.666666666666664,8
7,-84.819,2.714,0.469,0,0,1.0,19,0.324,True,6,5,(4 5),(4 6),85.714,5.284205231310499,29.571428571428573,8
8,-77.02,2.625,0.483,2,0,1.105,21,0.304,True,7,10,(6 4),(3 0),87.5,4.836733312997628,27.125,8
9,-74.548,2.444,0.479,1,0,1.158,22,0.303,True,8,17,(5 4),(0 8),88.889,4.97733743445212,26.0,8
10,-68.947,2.3,0.492,1,0,1.211,23,0.31,True,9,14,(0 0),(0 2),90.0,5.020301536905598,24.8,9
11,-73.251,2.364,0.49,3,0,1.368,26,0.33,True,10,31,(8 8),(2 2),90.909,4.904937318773698,25.363636363636363,9
12,-72.778,2.167,0.496,0,0,0.578,26,0.338,True,11,26,(2 2),(6 0),91.667,4.799512637535612,25.416666666666668,9
13,-105.206,2.077,0.65,1,0,0.6,27,0.421,False,11,101,(8 0),(2 0),84.615,4.9609826905482866,31.23076923076923,10
14,-101.439,1.929,0.655,0,0,0.386,27,0.401,True,12,25,(2 5),(6 8),85.714,4.992545416883972,30.785714285714285,10
15,-95.237,1.933,0.653,2,0,0.414,29,0.392,True,13,5,(6 3),(8 6),86.667,4.505729996900558,29.066666666666666,11
16,-90.075,1.812,0.654,0,0,0.358,29,0.396,True,14,11,(5 2),(6 2),87.5,4.858484461936502,27.9375,11
17,-103.997,1.824,0.644,2,0,0.383,31,0.405,False,14,101,(7 4),(5 0),82.353,4.997587136332759,32.23529411764706,11
18,-107.072,1.833,0.642,2,0,0.407,33,0.383,True,15,65,(3 7),(1 3),83.333,4.942018577651506,34.05555555555556,12
19,-102.501,1.789,0.647,1,0,0.42,34,0.38,True,16,10,(6 7),(5 4),84.211,4.984034039282091,32.78947368421053,12
20,-102.874,1.85,0.638,3,0,0.457,37,0.374,True,17,35,(2 1),(7 7),85.0,4.899084023688987,32.9,13
21,-98.661,1.81,0.638,1,0,0.469,38,0.372,True,18,8,(4 7),(2 5),85.714,5.1997681964168825,31.714285714285715,14
22,-95.31,1.773,0.639,1,0,0.481,39,0.376,True,19,12,(4 7),(5 2),86.364,4.866395597846007,30.818181818181817,14
23,-92.99,1.696,0.636,0,0,0.394,39,0.368,True,20,18,(1 6),(8 6),86.957,4.960163794130586,30.26086956521739,14
24,-90.353,1.625,0.633,0,0,0.355,39,0.373,True,21,11,(8 8),(5 2),87.5,4.844436098570579,29.458333333333332,14
25,-93.453,1.56,0.653,0,0,0.271,39,0.368,True,22,34,(8 0),(6 8),88.0,5.040486099802135,29.64,14
26,-90.688,1.5,0.651,0,0,0.25,39,0.369,True,23,12,(7 5),(4 2),88.462,4.95587970834967,28.96153846153846,14
27,-90.614,1.481,0.636,1,0,0.256,40,0.375,True,24,40,(6 0),(3 7),88.889,5.065432679652223,29.37037037037037,14
28,-89.445,1.464,0.636,1,0,0.263,41,0.378,True,25,19,(5 3),(2 7),89.286,4.941997934166941,29.0,14
29,-89.797,1.448,0.623,1,0,0.269,42,0.379,True,26,33,(8 0),(3 5),89.655,4.869260731840265,29.137931034482758,14
30,-89.932,1.4,0.617,0,0,0.226,42,0.379,True,27,30,(3 5),(3 1),90.0,4.900818097642496,29.166666666666668,14
31,-87.109,1.355,0.618,0,0,0.222,42,0.38,True,28,3,(4 5),(6 6),90.323,5.138795836172978,28.322580645161292,14
32,-85.067,1.312,0.616,0,0,0.209,42,0.384,True,29,12,(3 1),(5 5),90.625,5.154135547438889,27.8125,14
33,-82.489,1.273,0.618,0,0,0.208,42,0.384,True,30,1,(4 5),(4 6),90.909,4.304175330430245,27.0,14
34,-81.004,1.235,0.618,0,0,0.194,42,0.381,True,31,15,(7 8),(8 6),91.176,5.037121842110739,26.647058823529413,14
35,-79.565,1.2,0.617,0,0,0.182,42,0.385,True,32,14,(2 1),(7 4),91.429,4.755728151098381,26.285714285714285,14
36,-79.117,1.167,0.617,0,0,0.163,42,0.386,True,33,26,(5 7),(6 4),91.667,4.992317373026107,26.27777777777778,14
37,-81.609,1.135,0.623,0,0,0.137,42,0.396,True,34,50,(5 0),(0 2),91.892,5.213976615349662,26.91891891891892,14
38,-96.712,1.105,0.676,0,0,0.137,42,0.413,False,34,101,(7 1),(1 1),89.474,5.2062014170536575,28.86842105263158,14
39,-96.579,1.077,0.668,0,0,0.122,42,0.41,True,35,37,(2 5),(6 4),89.744,5.185383158052463,29.076923076923077,14
40,-95.887,1.05,0.672,0,0,0.114,42,0.406,True,36,26,(0 8),(1 2),90.0,4.909880407676295,29.0,14
41,-93.548,1.024,0.673,0,0,0.113,42,0.406,True,37,1,(6 7),(6 8),90.244,5.028811961518616,28.317073170731707,14
42,-92.877,1.0,0.665,0,0,0.104,42,0.412,True,38,32,(6 5),(6 3),90.476,5.078852711450876,28.404761904761905,14
