episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-18.932,0.0,0.765,0,0,0,0,0.125,True,1,8,(2 8),(5 5),100.0,0.014400341109783351,8.0,0
2,-57.441,0.0,0.443,0,0,0,0,0.109,True,2,38,(5 4),(2 8),100.0,202.60617129957015,23.0,0
3,-48.393,0.0,0.457,0,0,0,0,0.125,True,3,10,(4 0),(2 6),100.0,402.37794392865396,18.666666666666668,0
4,-38.209,0.25,0.433,1,0,0.018,1,0.159,True,4,7,(2 2),(1 1),100.0,1328.39738017743,15.75,0
5,-31.05,0.2,0.459,0,0,0.017,1,0.167,True,5,3,(5 3),(5 2),100.0,1507.0972421331824,13.2,0
6,-32.952,0.333,0.435,1,0,0.034,2,0.169,True,6,23,(7 7),(2 7),100.0,796.9505011644064,14.833333333333334,1
7,-32.049,0.429,0.446,1,0,0.051,3,0.153,True,7,9,(1 8),(3 3),100.0,457.1221235515957,14.0,2
8,-32.148,0.375,0.459,0,0,0.041,3,0.168,True,8,15,(2 2),(5 0),100.0,510.10162499708673,14.125,2
9,-33.022,0.333,0.437,0,0,0.032,3,0.158,True,9,20,(8 1),(3 2),100.0,160.24507599888307,14.777777777777779,2
10,-31.819,0.3,0.443,0,0,0.03,3,0.157,True,10,7,(4 7),(5 1),100.0,594.2225553297709,14.0,2
11,-30.409,0.273,0.479,0,0,0.027,3,0.152,True,11,11,(0 3),(2 1),100.0,482.2386446205864,13.727272727272727,2
12,-34.254,0.25,0.462,0,0,0.023,3,0.145,True,12,21,(2 8),(7 5),100.0,329.33492638465856,14.333333333333334,2
13,-35.97,0.231,0.457,0,0,0.02,3,0.144,True,13,15,(0 6),(6 1),100.0,523.7711045135297,14.384615384615385,2
14,-34.304,0.286,0.454,1,0,0.027,4,0.149,True,14,7,(4 4),(8 5),100.0,2107.1572346305907,13.857142857142858,3
15,-32.366,0.267,0.465,0,0,0.026,4,0.152,True,15,4,(8 1),(6 3),100.0,298.6503882879793,13.2,3
16,-30.634,0.312,0.472,1,0,0.033,5,0.153,True,16,4,(2 1),(4 1),100.0,1202.4407153097663,12.625,3
17,-31.484,0.294,0.475,0,0,0.031,5,0.146,True,17,11,(4 1),(6 8),100.0,278.0154506579845,12.529411764705882,3
18,-30.714,0.278,0.484,0,0,0.029,5,0.14,True,18,9,(7 7),(6 5),100.0,0.01309039435177072,12.333333333333334,3
19,-33.78,0.316,0.485,1,0,0.035,6,0.138,True,19,31,(3 2),(4 8),100.0,371.6980843661369,13.31578947368421,4
20,-32.482,0.3,0.49,0,0,0.034,6,0.14,True,20,5,(3 5),(4 1),100.0,213.88083434442123,12.9,4
21,-32.423,0.333,0.479,1,0,0.04,7,0.138,True,21,11,(8 4),(1 2),100.0,856.6230798086301,12.80952380952381,5
22,-32.327,0.318,0.478,0,0,0.038,7,0.133,True,22,9,(0 5),(7 3),100.0,649.610904515131,12.636363636363637,5
23,-31.466,0.348,0.481,1,0,0.043,8,0.13,True,23,6,(7 0),(2 1),100.0,250.14382828874886,12.347826086956522,6
24,-31.262,0.375,0.479,1,0,0.048,9,0.13,True,24,9,(0 7),(5 3),100.0,436.47797235574825,12.208333333333334,6
25,-31.053,0.36,0.479,0,0,0.045,9,0.141,True,25,13,(4 1),(7 5),100.0,2035.6275231369618,12.24,6
26,-35.437,0.5,0.492,4,0,0.065,13,0.141,True,26,34,(8 5),(0 0),100.0,825.9183796943651,13.076923076923077,7
27,-34.638,0.481,0.496,0,0,0.062,13,0.14,True,27,9,(5 3),(4 7),100.0,156.75982399419695,12.925925925925926,7
28,-33.567,0.464,0.502,0,0,0.061,13,0.142,True,28,4,(6 5),(7 4),100.0,1796.8021567320134,12.607142857142858,7
29,-33.299,0.448,0.498,0,0,0.059,13,0.146,True,29,10,(2 5),(8 5),100.0,1414.9806873956375,12.517241379310345,7
30,-32.578,0.467,0.503,1,0,0.063,14,0.149,True,30,6,(4 4),(7 7),100.0,1465.5000714430757,12.3,7
31,-35.014,0.452,0.523,0,0,0.055,14,0.146,True,31,34,(2 1),(1 8),100.0,255.74707379274895,13.0,7
32,-34.066,0.438,0.527,0,0,0.054,14,0.145,True,32,4,(4 1),(2 3),100.0,635.3920273905952,12.71875,7
33,-34.047,0.424,0.522,0,0,0.052,14,0.141,True,33,11,(1 3),(5 8),100.0,375.560710083668,12.666666666666666,7
34,-34.605,0.412,0.515,0,0,0.049,14,0.144,True,34,14,(7 0),(2 7),100.0,973.4946361272706,12.705882352941176,7
35,-33.787,0.4,0.518,0,0,0.048,14,0.142,True,35,4,(1 2),(3 2),100.0,2167.2436504358584,12.457142857142857,7
36,-33.747,0.389,0.522,0,0,0.046,14,0.139,True,36,17,(7 7),(5 6),100.0,137.81880522289174,12.583333333333334,7
37,-33.749,0.378,0.521,0,0,0.044,14,0.137,True,37,13,(1 3),(2 7),100.0,96.41270081674648,12.594594594594595,7
38,-34.592,0.368,0.514,0,0,0.041,14,0.134,True,38,20,(5 5),(0 6),100.0,290.19649297269706,12.789473684210526,7
39,-33.998,0.359,0.517,0,0,0.04,14,0.134,True,39,8,(3 6),(3 2),100.0,98.0688729025932,12.666666666666666,7
40,-33.652,0.35,0.515,0,0,0.039,14,0.135,True,40,10,(4 1),(3 4),100.0,1006.6140910903221,12.6,7
41,-33.375,0.341,0.512,0,0,0.038,14,0.134,True,41,12,(5 2),(2 5),100.0,268.70056397884275,12.585365853658537,7
42,-32.878,0.333,0.511,0,0,0.037,14,0.136,True,42,6,(0 2),(5 3),100.0,1168.8017034489687,12.428571428571429,7
43,-33.517,0.326,0.505,0,0,0.035,14,0.133,True,43,21,(8 4),(2 8),100.0,539.3020307792764,12.627906976744185,7
44,-34.445,0.318,0.498,0,0,0.034,14,0.133,True,44,20,(5 1),(0 6),100.0,322.29050942175627,12.795454545454545,7
45,-33.679,0.311,0.5,0,0,0.034,14,0.133,True,45,1,(4 4),(4 3),100.0,0.011963451880515483,12.533333333333333,7
46,-33.214,0.304,0.5,0,0,0.033,14,0.131,True,46,7,(2 6),(5 4),100.0,556.1841543641424,12.41304347826087,7
47,-33.315,0.298,0.495,0,0,0.032,14,0.134,True,47,11,(2 4),(8 7),100.0,1451.3558878607118,12.382978723404255,7
48,-32.953,0.292,0.495,0,0,0.032,14,0.132,True,48,7,(4 7),(1 3),100.0,90.97474242766116,12.270833333333334,7
49,-32.96,0.286,0.492,0,0,0.031,14,0.132,True,49,17,(5 3),(2 7),100.0,310.94326853128797,12.36734693877551,7
50,-32.709,0.28,0.491,0,0,0.03,14,0.131,True,50,10,(6 8),(4 4),100.0,325.93075282431425,12.32,7
51,-33.033,0.275,0.485,0,0,0.029,14,0.134,True,51,13,(0 5),(7 1),100.0,1007.8194250181771,12.333333333333334,7
52,-32.499,0.269,0.488,0,0,0.029,14,0.134,True,52,4,(4 0),(3 3),100.0,419.4149249532741,12.173076923076923,7
53,-31.973,0.264,0.491,0,0,0.029,14,0.137,True,53,4,(1 6),(3 4),100.0,980.6277657759803,12.018867924528301,7
54,-31.85,0.259,0.489,0,0,0.028,14,0.14,True,54,8,(0 2),(7 1),100.0,807.1023533843004,11.944444444444445,7
55,-32.006,0.255,0.488,0,0,0.027,14,0.139,True,55,15,(1 2),(4 8),100.0,189.35735736585045,12.0,7
56,-31.808,0.25,0.491,0,0,0.027,14,0.139,True,56,8,(0 3),(5 6),100.0,216.91217236975407,11.928571428571429,7
57,-33.821,0.246,0.506,0,0,0.025,14,0.132,True,57,49,(1 2),(0 6),100.0,177.44751344509217,12.578947368421053,7
58,-33.37,0.241,0.506,0,0,0.024,14,0.131,True,58,6,(5 3),(2 4),100.0,0.012749571090342493,12.46551724137931,7
59,-33.334,0.237,0.503,0,0,0.024,14,0.131,True,59,10,(1 3),(7 3),100.0,195.83614440131137,12.423728813559322,7
60,-34.134,0.233,0.492,0,0,0.022,14,0.132,True,60,37,(7 3),(3 2),100.0,654.9532161738192,12.833333333333334,7
61,-34.082,0.246,0.495,1,0,0.024,15,0.138,True,61,14,(8 6),(5 5),100.0,2680.822408981062,12.852459016393443,7
62,-34.012,0.242,0.491,0,0,0.023,15,0.137,True,62,17,(5 0),(5 3),100.0,155.99014818138184,12.919354838709678,7
63,-34.811,0.27,0.5,2,0,0.027,17,0.141,True,63,23,(0 6),(8 1),100.0,1663.7216417242207,13.079365079365079,9
64,-34.815,0.266,0.501,0,0,0.026,17,0.141,True,64,18,(3 5),(5 7),100.0,105.05875603430215,13.15625,9
65,-35.173,0.262,0.495,0,0,0.025,17,0.143,True,65,21,(0 2),(1 6),100.0,384.2231013869479,13.276923076923078,9
66,-34.775,0.258,0.494,0,0,0.025,17,0.143,True,66,6,(8 4),(7 1),100.0,2769.9454996838263,13.166666666666666,9
67,-34.256,0.254,0.494,0,0,0.025,17,0.143,True,67,1,(0 1),(1 1),100.0,0.01518041496512982,12.985074626865671,9
68,-35.593,0.265,0.512,1,0,0.026,18,0.148,True,68,37,(7 4),(0 0),100.0,851.7160282940881,13.338235294117647,9
69,-35.317,0.261,0.516,0,0,0.026,18,0.147,True,69,13,(0 4),(1 1),100.0,145.24437600021758,13.333333333333334,9
70,-35.389,0.257,0.516,0,0,0.025,18,0.146,True,70,14,(0 3),(5 7),100.0,239.6782129728029,13.342857142857143,9
71,-35.46,0.254,0.516,0,0,0.024,18,0.151,True,71,27,(1 1),(2 2),100.0,1061.5942514170963,13.535211267605634,9
72,-35.032,0.25,0.515,0,0,0.024,18,0.152,True,72,4,(5 5),(8 4),100.0,2322.8703718077154,13.402777777777779,9
73,-35.228,0.247,0.51,0,0,0.024,18,0.15,True,73,21,(0 4),(4 1),100.0,105.0242000451911,13.506849315068493,9
74,-35.24,0.243,0.51,0,0,0.023,18,0.15,True,74,11,(0 4),(5 4),100.0,496.73139733449864,13.472972972972974,9
75,-35.587,0.253,0.51,1,0,0.024,19,0.151,True,75,25,(7 7),(5 0),100.0,555.0745481457166,13.626666666666667,10
76,-35.586,0.25,0.506,0,0,0.024,19,0.156,True,76,18,(2 6),(8 4),100.0,2240.165161339345,13.68421052631579,10
77,-35.225,0.247,0.508,0,0,0.024,19,0.155,True,77,5,(1 3),(5 2),100.0,0.01301861961562133,13.571428571428571,10
78,-35.781,0.244,0.509,0,0,0.023,19,0.163,True,78,25,(8 4),(0 2),100.0,1230.7884960215333,13.717948717948717,10
79,-35.696,0.241,0.509,0,0,0.023,19,0.161,True,79,15,(4 6),(3 2),100.0,607.0749952687075,13.734177215189874,10
