episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-19.178,2.0,0.457,2,0,0,2,0.167,True,1,12,(2 6),(7 7),100.0,859.3408827388866,12.0,2
2,-20.806,1.5,0.511,1,0,0,3,0.333,True,2,9,(2 7),(8 6),100.0,1268.4681749350648,10.5,3
3,-84.557,1.667,0.32,2,0,0,5,0.311,False,2,101,(2 3),(7 5),66.667,449.91295672672544,40.666666666666664,4
4,-68.123,1.25,0.357,0,0,0.556,5,0.328,True,3,9,(4 1),(1 5),75.0,933.267688907426,32.75,4
5,-70.645,1.0,0.475,0,0,0.172,5,0.325,True,4,20,(8 7),(6 0),80.0,795.5438214317361,30.2,4
6,-59.371,0.833,0.496,0,0,0.156,5,0.318,True,5,3,(3 5),(3 6),83.333,1270.4037581638534,25.666666666666668,4
7,-56.218,0.857,0.486,1,0,0.188,6,0.324,True,6,16,(4 8),(2 2),85.714,860.5511285700691,24.285714285714285,4
8,-49.794,0.875,0.484,1,0,0.219,7,0.314,True,7,5,(2 6),(0 5),87.5,669.2842122217088,21.875,4
9,-47.906,0.778,0.478,0,0,0.149,7,0.326,True,8,15,(4 3),(0 0),88.889,946.4528736887156,21.11111111111111,4
10,-44.224,0.7,0.488,0,0,0.132,7,0.321,True,9,6,(6 6),(3 3),90.0,775.421156668568,19.6,4
11,-52.954,0.727,0.51,1,0,0.151,8,0.307,True,10,32,(8 6),(5 1),90.909,551.1587218908543,20.727272727272727,4
12,-55.553,0.833,0.521,2,0,0.189,10,0.31,True,11,20,(3 0),(8 0),91.667,905.1246507513304,20.666666666666668,5
13,-51.356,0.769,0.532,0,0,0.182,10,0.312,True,12,2,(5 7),(5 5),92.308,907.3442346166797,19.23076923076923,5
14,-48.46,0.714,0.546,0,0,0.161,10,0.319,True,13,7,(2 7),(3 3),92.857,1264.0846336295847,18.357142857142858,5
15,-47.85,0.733,0.534,1,0,0.177,11,0.331,True,14,12,(5 7),(2 0),93.333,664.6305987971097,17.933333333333334,6
16,-44.859,0.688,0.532,0,0,0.175,11,0.333,True,15,1,(2 8),(3 8),93.75,746.213305405997,16.875,6
17,-43.668,0.647,0.54,0,0,0.136,11,0.351,True,16,18,(3 8),(3 6),94.118,1170.2974076032558,16.941176470588236,6
18,-47.193,0.667,0.517,1,0,0.148,12,0.355,True,17,33,(8 8),(6 0),94.444,696.1282784453791,17.833333333333332,6
19,-46.107,0.684,0.523,1,0,0.16,13,0.352,True,18,9,(2 2),(5 6),94.737,648.0632489739103,17.36842105263158,7
20,-47.824,0.75,0.504,2,0,0.185,15,0.364,True,19,24,(7 4),(0 1),95.0,1127.281778930624,17.7,8
21,-48.878,0.762,0.499,1,0,0.198,16,0.352,True,20,30,(4 3),(8 6),95.238,310.1107819549515,18.285714285714285,9
22,-50.956,0.773,0.504,1,0,0.21,17,0.356,True,21,26,(8 6),(5 0),95.455,758.4059527533532,18.636363636363637,9
23,-49.08,0.739,0.507,0,0,0.198,17,0.354,True,22,5,(3 7),(2 3),95.652,1220.2419995302969,18.043478260869566,9
24,-50.449,0.792,0.509,2,0,0.221,19,0.37,True,23,31,(0 5),(8 8),95.833,1075.2243655268567,18.583333333333332,10
25,-50.373,0.76,0.508,0,0,0.194,19,0.369,True,24,12,(0 8),(5 1),96.0,761.1961953790345,18.32,10
26,-49.086,0.731,0.507,0,0,0.178,19,0.37,True,25,9,(5 0),(8 2),96.154,1112.7161603801462,17.96153846153846,10
27,-51.624,0.778,0.571,2,0,0.196,21,0.376,True,26,44,(4 3),(0 8),96.296,928.9866297905987,18.925925925925927,11
28,-51.56,0.786,0.563,1,0,0.206,22,0.374,True,27,16,(3 3),(8 2),96.429,843.7532582058179,18.821428571428573,11
29,-51.622,0.759,0.557,0,0,0.176,22,0.369,True,28,18,(3 0),(3 8),96.552,956.2902049815413,18.79310344827586,11
30,-50.223,0.733,0.559,0,0,0.167,22,0.373,True,29,7,(0 3),(1 5),96.667,1262.451205389394,18.4,11
31,-48.844,0.742,0.558,1,0,0.174,23,0.372,True,30,5,(0 3),(3 1),96.774,718.2043038723937,17.967741935483872,11
32,-47.349,0.719,0.564,0,0,0.172,23,0.37,True,31,2,(3 3),(2 4),96.875,600.5524350349253,17.46875,11
33,-49.403,0.758,0.557,2,0,0.187,25,0.379,True,32,40,(8 2),(0 1),96.97,1101.1471373966206,18.151515151515152,12
34,-48.129,0.765,0.56,1,0,0.194,26,0.376,True,33,5,(6 3),(6 4),97.059,1133.526897347809,17.764705882352942,12
35,-47.162,0.743,0.562,0,0,0.183,26,0.377,True,34,8,(6 7),(5 4),97.143,799.0143377295049,17.485714285714284,12
36,-46.17,0.722,0.562,0,0,0.174,26,0.375,True,35,7,(5 4),(6 8),97.222,814.3621843711052,17.194444444444443,12
37,-45.441,0.703,0.555,0,0,0.165,26,0.376,True,36,9,(2 7),(0 2),97.297,930.5646293548645,16.972972972972972,12
38,-44.591,0.684,0.556,0,0,0.158,26,0.373,True,37,7,(2 5),(5 7),97.368,809.695864880786,16.710526315789473,12
39,-43.601,0.692,0.559,1,0,0.164,27,0.374,True,38,4,(7 1),(4 2),97.436,1034.7656576515567,16.384615384615383,13
40,-42.903,0.675,0.562,0,0,0.157,27,0.375,True,39,7,(2 4),(6 7),97.5,950.4912318105277,16.15,13
41,-42.476,0.659,0.563,0,0,0.147,27,0.38,True,40,12,(6 4),(2 6),97.561,941.7017970666907,16.048780487804876,13
42,-42.51,0.667,0.56,1,0,0.152,28,0.382,True,41,30,(2 3),(0 5),97.619,796.348731936865,16.38095238095238,13
43,-41.591,0.651,0.562,0,0,0.149,28,0.383,True,42,4,(5 1),(6 0),97.674,872.3597971202834,16.093023255813954,13
44,-40.646,0.636,0.561,0,0,0.148,28,0.384,True,43,1,(8 0),(8 1),97.727,1003.8184493672965,15.75,13
45,-40.247,0.622,0.561,0,0,0.14,28,0.385,True,44,11,(2 1),(2 6),97.778,1099.8572250642717,15.644444444444444,13
46,-44.367,0.63,0.542,1,0,0.145,29,0.368,False,44,101,(8 2),(7 4),95.652,440.8761101588472,17.5,13
47,-45.034,0.638,0.534,1,0,0.15,30,0.372,True,45,25,(5 5),(8 1),95.745,790.8095242863383,17.659574468085108,13
48,-45.564,0.667,0.526,2,0,0.16,32,0.372,True,46,16,(8 1),(1 8),95.833,1128.197266960623,17.625,13
49,-45.244,0.653,0.525,0,0,0.147,32,0.379,True,47,17,(2 1),(2 2),95.918,1170.7073935874155,17.612244897959183,13
50,-44.67,0.64,0.529,0,0,0.14,32,0.376,True,48,11,(6 3),(4 4),96.0,649.9044175540122,17.48,13
51,-44.761,0.627,0.524,0,0,0.128,32,0.382,True,49,22,(1 3),(8 4),96.078,856.5926875519098,17.568627450980394,13
52,-44.132,0.615,0.523,0,0,0.124,32,0.383,True,50,8,(2 5),(3 8),96.154,1192.3033949346757,17.384615384615383,13
53,-43.319,0.604,0.527,0,0,0.123,32,0.382,True,51,2,(3 6),(2 5),96.226,1055.6422259700962,17.09433962264151,13
54,-43.547,0.593,0.523,0,0,0.116,32,0.386,True,52,16,(7 5),(0 1),96.296,914.951868028802,17.074074074074073,13
55,-43.13,0.582,0.525,0,0,0.112,32,0.387,True,53,9,(0 3),(5 1),96.364,715.8322851038517,16.927272727272726,13
56,-42.532,0.571,0.528,0,0,0.11,32,0.388,True,54,6,(6 8),(6 4),96.429,756.4247696947176,16.732142857142858,13
57,-42.085,0.561,0.53,0,0,0.107,32,0.389,True,55,7,(2 1),(3 7),96.491,948.5797464893818,16.56140350877193,13
58,-42.396,0.552,0.523,0,0,0.098,32,0.392,True,56,27,(6 6),(2 3),96.552,675.7860781388322,16.74137931034483,13
59,-42.19,0.559,0.525,1,0,0.102,33,0.391,True,57,11,(5 1),(6 7),96.61,752.6081570663175,16.64406779661017,14
60,-42.296,0.55,0.52,0,0,0.097,33,0.395,True,58,16,(0 0),(8 2),96.667,1099.388163145008,16.633333333333333,14
61,-42.157,0.541,0.517,0,0,0.094,33,0.395,True,59,11,(4 7),(0 2),96.721,1093.4570031776389,16.540983606557376,14
62,-45.701,0.532,0.523,0,0,0.094,33,0.391,False,59,101,(7 1),(0 7),95.161,679.5164683341894,17.903225806451612,14
63,-45.095,0.524,0.527,0,0,0.092,33,0.392,True,60,5,(5 1),(3 4),95.238,909.0699767850772,17.6984126984127,14
64,-44.463,0.531,0.53,1,0,0.095,34,0.392,True,61,4,(6 2),(7 5),95.312,753.0305837537616,17.484375,14
65,-47.002,0.523,0.513,0,0,0.095,34,0.371,False,61,101,(2 5),(7 5),93.846,187.22193888993718,18.76923076923077,14
66,-48.042,0.515,0.508,0,0,0.088,34,0.374,True,62,30,(8 1),(0 5),93.939,765.8059896843109,18.939393939393938,14
67,-47.641,0.507,0.509,0,0,0.086,34,0.374,True,63,9,(1 4),(6 2),94.03,994.4561960793134,18.791044776119403,14
68,-50.435,0.529,0.487,2,0,0.091,36,0.379,False,63,101,(0 8),(7 5),92.647,743.7390288595439,20.0,15
69,-49.718,0.522,0.489,0,0,0.09,36,0.38,True,64,2,(7 1),(8 0),92.754,806.5596306444343,19.73913043478261,15
70,-50.072,0.514,0.485,0,0,0.085,36,0.381,True,65,25,(7 5),(1 3),92.857,913.885915348707,19.814285714285713,15
71,-50.536,0.521,0.482,1,0,0.087,37,0.375,True,66,28,(7 3),(7 7),92.958,126.517719410229,19.929577464788732,16
72,-50.026,0.514,0.485,0,0,0.086,37,0.376,True,67,8,(5 7),(2 4),93.056,839.2720218954183,19.76388888888889,16
73,-50.454,0.521,0.481,1,0,0.088,38,0.38,True,68,33,(3 0),(2 7),93.151,1138.9450272768663,19.945205479452056,16
74,-50.117,0.514,0.481,0,0,0.086,38,0.383,True,69,12,(1 1),(5 1),93.243,978.9336483248231,19.83783783783784,16
75,-51.51,0.507,0.478,0,0,0.08,38,0.383,True,70,30,(0 0),(8 7),93.333,449.14374214177246,19.973333333333333,16
76,-51.719,0.513,0.48,1,0,0.082,39,0.382,True,71,23,(8 8),(0 7),93.421,629.5601895365951,20.013157894736842,16
77,-51.404,0.506,0.481,0,0,0.081,39,0.383,True,72,11,(0 1),(6 2),93.506,861.7946613517288,19.896103896103895,16
78,-50.876,0.513,0.481,1,0,0.083,40,0.383,True,73,7,(7 5),(4 7),93.59,966.0031531621568,19.73076923076923,17
79,-50.49,0.506,0.482,0,0,0.081,40,0.383,True,74,10,(4 2),(1 5),93.671,731.9637732541661,19.60759493670886,17
80,-50.66,0.5,0.485,0,0,0.077,40,0.384,True,75,27,(1 4),(5 0),93.75,890.977845077792,19.7,17
81,-50.576,0.494,0.485,0,0,0.074,40,0.384,True,76,17,(2 1),(4 4),93.827,651.6317002499703,19.666666666666668,17
82,-50.292,0.488,0.489,0,0,0.072,40,0.384,True,77,17,(3 0),(4 4),93.902,715.2231459691639,19.634146341463413,17
83,-50.297,0.482,0.492,0,0,0.07,40,0.387,True,78,18,(3 0),(4 5),93.976,821.5964555913175,19.6144578313253,17
84,-49.83,0.476,0.493,0,0,0.069,40,0.388,True,79,6,(7 7),(4 4),94.048,809.5502290661492,19.452380952380953,17
85,-56.386,0.471,0.489,0,0,0.059,40,0.384,True,80,95,(8 7),(2 0),94.118,554.9579231727646,20.341176470588234,17
86,-55.892,0.465,0.49,0,0,0.059,40,0.385,True,81,8,(5 0),(5 4),94.186,803.640579283738,20.197674418604652,17
87,-55.984,0.471,0.492,1,0,0.06,41,0.384,True,82,34,(4 8),(3 7),94.253,674.0928811631208,20.35632183908046,18
88,-55.432,0.466,0.493,0,0,0.06,41,0.385,True,83,5,(4 5),(1 3),94.318,1175.1139760669907,20.181818181818183,18
89,-55.006,0.461,0.493,0,0,0.059,41,0.386,True,84,8,(4 4),(1 1),94.382,569.1286695428582,20.04494382022472,18
90,-54.63,0.456,0.494,0,0,0.058,41,0.386,True,85,8,(4 1),(3 6),94.444,876.7270241095563,19.91111111111111,18
91,-55.513,0.451,0.494,0,0,0.055,41,0.383,True,86,43,(4 8),(8 2),94.505,568.7761151581443,20.164835164835164,18
92,-55.755,0.446,0.49,0,0,0.053,41,0.382,True,87,28,(1 6),(7 4),94.565,632.8231920123171,20.25,18
93,-55.547,0.441,0.49,0,0,0.052,41,0.381,True,88,18,(1 6),(1 8),94.624,812.3555884428371,20.225806451612904,18
94,-55.149,0.436,0.494,0,0,0.051,41,0.383,True,89,15,(4 3),(5 5),94.681,922.0296799962757,20.170212765957448,18
95,-54.952,0.432,0.494,0,0,0.05,41,0.384,True,90,14,(4 6),(2 0),94.737,803.8243634753117,20.105263157894736,18
96,-54.598,0.427,0.494,0,0,0.049,41,0.384,True,91,8,(7 4),(1 6),94.792,991.9433453611712,19.979166666666668,18
97,-54.47,0.433,0.493,1,0,0.051,42,0.384,True,92,12,(8 4),(4 8),94.845,619.2926668320099,19.896907216494846,18
98,-53.924,0.429,0.493,0,0,0.051,42,0.384,True,93,2,(3 7),(4 8),94.898,1075.6984227337368,19.714285714285715,18
99,-53.458,0.424,0.494,0,0,0.05,42,0.384,True,94,5,(5 5),(5 2),94.949,665.3639463346105,19.565656565656564,18
100,-53.356,0.42,0.493,0,0,0.049,42,0.384,True,95,14,(5 7),(2 0),95.0,706.1216264878531,19.51,18
101,-52.93,0.416,0.494,0,0,0.049,42,0.384,True,96,7,(8 7),(6 6),95.05,1102.3715855044622,19.386138613861387,18
102,-52.471,0.412,0.496,0,0,0.049,42,0.383,True,97,5,(5 6),(6 6),95.098,251.3128286199591,19.245098039215687,18
103,-52.887,0.417,0.497,1,0,0.05,43,0.387,True,98,41,(8 7),(1 8),95.146,957.8361998122058,19.45631067961165,19
104,-52.564,0.413,0.496,0,0,0.049,43,0.388,True,99,7,(2 8),(8 7),95.192,1181.445452727906,19.33653846153846,19
105,-52.234,0.41,0.498,0,0,0.049,43,0.389,True,100,9,(1 8),(4 4),95.238,995.915872290703,19.238095238095237,19
106,-51.787,0.406,0.499,0,0,0.049,43,0.389,True,101,5,(2 1),(1 3),95.283,903.6135427242625,19.10377358490566,19
107,-51.532,0.402,0.499,0,0,0.048,43,0.389,True,102,10,(1 3),(6 6),95.327,658.5777779835645,19.018691588785046,19
108,-51.46,0.398,0.498,0,0,0.047,43,0.391,True,103,18,(5 6),(7 1),95.37,1004.5577992403915,19.00925925925926,19
109,-53.017,0.404,0.49,1,0,0.048,44,0.392,False,103,101,(4 6),(0 7),94.495,721.5102771861286,19.761467889908257,20
110,-54.537,0.4,0.479,0,0,0.048,44,0.391,False,103,101,(0 5),(7 5),93.636,599.1954602790507,20.5,20
111,-54.208,0.396,0.481,0,0,0.048,44,0.391,True,104,11,(6 4),(2 3),93.694,600.4437581222606,20.414414414414413,20
112,-54.955,0.393,0.479,0,0,0.046,44,0.388,True,105,45,(2 8),(8 2),93.75,605.459941927767,20.633928571428573,20
113,-54.698,0.389,0.478,0,0,0.045,44,0.39,True,106,16,(3 4),(3 0),93.805,833.560259812671,20.5929203539823,20
114,-54.41,0.386,0.479,0,0,0.044,44,0.39,True,107,8,(4 2),(6 8),93.86,658.4048839814959,20.482456140350877,20
115,-54.117,0.383,0.48,0,0,0.044,44,0.39,True,108,10,(7 7),(2 6),93.913,1001.1653978049014,20.391304347826086,20
116,-53.68,0.379,0.482,0,0,0.044,44,0.391,True,109,4,(7 4),(6 3),93.966,812.1763324791654,20.25,20
117,-53.261,0.376,0.484,0,0,0.044,44,0.391,True,110,4,(2 5),(4 3),94.017,1166.630505096854,20.11111111111111,20
118,-53.361,0.373,0.483,0,0,0.042,44,0.392,True,111,37,(0 0),(5 2),94.068,1003.9098391903948,20.25423728813559,20
119,-53.246,0.37,0.482,0,0,0.042,44,0.392,True,112,14,(6 0),(2 4),94.118,738.1408886769672,20.201680672268907,20
120,-52.907,0.367,0.484,0,0,0.041,44,0.392,True,113,8,(2 2),(1 5),94.167,954.1525546388726,20.1,20
121,-54.003,0.364,0.484,0,0,0.039,44,0.387,True,114,53,(8 7),(5 5),94.215,161.0387831267991,20.371900826446282,20
