episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-30.467,2.0,0.236,2,0,0,2,0.0,True,1,9,(6 7),(6 0),100.0,104.4231199440092,9.0,1
2,-21.201,1.0,0.394,0,0,0.333,2,0.067,True,2,6,(5 6),(6 1),100.0,185.08584352107184,7.5,1
3,-31.946,0.667,0.34,0,0,0.08,2,0.088,True,3,19,(7 7),(1 8),100.0,217.8543660526296,11.333333333333334,1
4,-33.123,1.0,0.312,2,0,0.16,4,0.127,True,4,21,(5 5),(1 4),100.0,460.8371634993537,13.75,1
5,-46.871,0.8,0.278,0,0,0.053,4,0.143,True,5,50,(6 1),(1 4),100.0,639.74262433019,21.0,1
6,-75.906,0.667,0.224,0,0,0.035,4,0.188,True,6,39,(7 6),(3 1),100.0,292.7295237151328,24.0,1
7,-106.808,1.0,0.225,3,0,0.061,7,0.212,False,6,101,(7 6),(5 4),85.714,268.2493546894895,35.0,3
8,-93.759,0.875,0.232,0,0,0.06,7,0.214,True,7,3,(3 5),(1 4),87.5,163.45030588056167,31.0,3
9,-84.498,0.778,0.238,0,0,0.056,7,0.211,True,8,8,(7 3),(6 0),88.889,72.44499412296516,28.444444444444443,3
10,-83.302,0.9,0.252,2,0,0.072,9,0.205,True,9,22,(6 1),(0 5),90.0,689.2507423359494,27.8,4
11,-77.344,0.818,0.269,0,0,0.068,9,0.207,True,10,7,(1 1),(2 5),90.909,936.4825040431361,25.90909090909091,4
12,-73.035,0.75,0.271,0,0,0.063,9,0.199,True,11,11,(8 4),(3 2),91.667,212.30764871272189,24.666666666666668,4
13,-69.647,0.769,0.276,1,0,0.07,10,0.196,True,12,16,(0 4),(2 2),92.308,231.984773578088,24.0,4
14,-71.226,0.786,0.268,1,0,0.077,11,0.189,True,13,21,(2 7),(6 0),92.857,341.6277365867622,23.785714285714285,4
