episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-614.471,20.0,1.323,20,0,0,20,0.188,False,0,101,(8 8),(1 8),0.0,4.9014929468762585,101.0,5
2,-319.598,10.5,1.223,1,0,0,21,0.157,True,1,14,(5 8),(8 6),50.0,4.6736504898125295,57.5,5
3,-231.777,8.0,1.072,3,0,0,24,0.196,True,2,33,(2 2),(3 4),66.667,4.794851406190139,49.333333333333336,5
4,-235.333,6.75,1.161,3,0,0,27,0.198,True,3,49,(2 0),(0 7),75.0,4.837905538019976,49.25,5
5,-196.932,6.2,1.079,4,0,0,31,0.209,True,4,23,(4 6),(2 2),80.0,5.003617183673742,44.0,7
6,-212.806,5.5,0.956,2,0,0,33,0.255,False,4,101,(2 7),(1 4),66.667,4.772949465683897,53.5,7
7,-185.03,4.857,0.945,1,0,0,34,0.255,True,5,9,(0 3),(1 1),71.429,4.816199520749173,47.142857142857146,7
8,-174.782,4.5,0.939,2,0,0,36,0.259,True,6,25,(0 0),(1 7),75.0,4.756756378912618,44.375,7
9,-158.886,4.111,0.928,1,0,0,37,0.275,True,7,16,(8 7),(7 2),77.778,4.69778198277652,41.22222222222222,8
10,-169.086,4.1,0.872,4,0,0,41,0.295,True,8,59,(8 7),(1 5),80.0,4.7926258998102895,43.0,9
11,-154.425,3.727,0.866,0,0,8.2,41,0.297,True,9,5,(0 3),(0 0),81.818,4.686384261448916,39.54545454545455,9
12,-159.146,3.583,0.853,2,0,8.6,43,0.297,True,10,64,(8 3),(5 8),83.333,4.7423245020701055,41.583333333333336,9
13,-147.85,3.308,0.853,0,0,3.583,43,0.292,True,11,7,(1 5),(2 7),84.615,4.680873952650716,38.92307692307692,9
14,-178.485,3.143,0.993,1,0,3.667,44,0.311,False,11,101,(4 0),(0 8),78.571,4.810051101969124,43.357142857142854,9
15,-167.175,2.933,0.989,0,0,2.2,44,0.314,True,12,8,(5 4),(4 3),80.0,4.82380110732306,41.0,9
16,-157.892,2.812,0.985,1,0,2.25,45,0.311,True,13,8,(1 2),(2 7),81.25,4.661043681678097,38.9375,9
17,-174.434,2.706,0.94,1,0,2.3,46,0.334,False,13,101,(7 7),(4 7),76.471,4.750306952420154,42.588235294117645,9
18,-179.38,2.667,0.867,2,0,2.4,48,0.377,False,13,101,(7 5),(2 0),72.222,4.6979177472872795,45.833333333333336,10
19,-181.369,2.579,0.845,1,0,2.45,49,0.433,False,13,101,(8 8),(7 2),68.421,4.849096233556668,48.73684210526316,10
20,-199.995,2.45,0.863,0,0,2.45,49,0.474,False,13,101,(8 7),(2 1),65.0,4.725573904742906,51.35,10
21,-191.737,2.333,0.859,0,0,1.69,49,0.473,True,14,9,(1 2),(6 6),66.667,4.701200527271087,49.333333333333336,10
22,-183.294,2.227,0.86,0,0,1.485,49,0.473,True,15,4,(4 7),(4 3),68.182,4.76007415996674,47.27272727272727,10
23,-180.09,2.217,0.849,2,0,1.545,51,0.465,True,16,33,(0 7),(7 5),69.565,4.735930535111613,46.65217391304348,10
24,-173.408,2.125,0.845,0,0,1.041,51,0.466,True,17,16,(2 5),(4 5),70.833,4.883869940763462,45.375,10
25,-168.021,2.04,0.841,0,0,0.773,51,0.463,True,18,17,(0 4),(7 6),72.0,4.66102397680249,44.24,10
26,-162.271,1.962,0.835,0,0,0.671,51,0.462,True,19,10,(2 6),(1 2),73.077,5.119680580800295,42.92307692307692,10
27,-182.741,1.926,0.843,1,0,0.684,52,0.484,False,19,101,(8 5),(3 8),70.37,4.746682636214694,45.074074074074076,10
28,-190.638,1.893,0.826,1,0,0.697,53,0.494,False,19,101,(6 6),(4 5),67.857,4.810589169312168,47.07142857142857,10
29,-184.503,1.862,0.822,1,0,0.711,54,0.495,True,20,8,(5 2),(7 0),68.966,4.4439048622844615,45.724137931034484,11
30,-178.863,1.833,0.82,1,0,0.724,55,0.492,True,21,8,(2 6),(3 3),70.0,5.2352604367949676,44.46666666666667,12
31,-174.681,1.774,0.812,0,0,0.545,55,0.487,True,22,25,(5 5),(8 3),70.968,4.7978955584514535,43.83870967741935,12
32,-181.819,1.719,0.789,0,0,0.545,55,0.501,False,22,101,(6 1),(1 2),68.75,4.837451491494111,45.625,12
33,-185.08,1.667,0.78,0,0,0.545,55,0.491,False,22,101,(2 3),(0 5),66.667,4.732839666348269,47.303030303030305,12
34,-181.92,1.618,0.771,0,0,0.41,55,0.484,True,23,33,(5 7),(6 5),67.647,4.727578219215269,46.88235294117647,12
35,-177.322,1.571,0.771,0,0,0.382,55,0.483,True,24,10,(4 7),(4 3),68.571,4.937751595734798,45.82857142857143,12
36,-183.03,1.528,0.781,0,0,0.382,55,0.486,False,24,101,(8 6),(6 8),66.667,4.951897796706406,47.361111111111114,12
37,-182.844,1.514,0.776,1,0,0.389,56,0.481,True,25,38,(0 8),(8 4),67.568,4.71510215928909,47.108108108108105,12
38,-178.17,1.474,0.776,0,0,0.378,56,0.481,True,26,4,(8 5),(5 4),68.421,4.8959711031801865,45.973684210526315,12
39,-175.026,1.436,0.773,0,0,0.318,56,0.477,True,27,28,(3 6),(7 7),69.231,4.729453020332805,45.51282051282051,12
40,-181.716,1.4,0.784,0,0,0.318,56,0.482,False,27,101,(8 3),(6 8),67.5,4.845921429416571,46.9,12
41,-178.016,1.366,0.78,0,0,0.289,56,0.479,True,28,18,(2 8),(1 4),68.293,4.692993717335637,46.19512195121951,12
42,-174.192,1.333,0.779,0,0,0.277,56,0.478,True,29,8,(0 4),(6 4),69.048,5.0045309743213995,45.285714285714285,12
43,-194.402,1.302,0.829,0,0,0.277,56,0.499,False,29,101,(8 2),(1 8),67.442,4.805205016248177,46.58139534883721,12
44,-197.767,1.273,0.846,0,0,0.277,56,0.519,False,29,101,(8 5),(6 3),65.909,4.8234845190453886,47.81818181818182,12
45,-201.552,1.244,0.855,0,0,0.196,56,0.53,True,30,83,(8 1),(6 6),66.667,4.793226818224093,48.6,12
46,-197.368,1.239,0.854,1,0,0.2,57,0.528,True,31,7,(0 7),(2 8),67.391,5.016589062577629,47.69565217391305,12
47,-193.297,1.213,0.855,0,0,0.197,57,0.527,True,32,5,(3 6),(1 7),68.085,4.834805472236778,46.787234042553195,12
48,-192.686,1.188,0.857,0,0,0.167,57,0.522,True,33,52,(6 8),(0 7),68.75,4.779610330913757,46.895833333333336,12
49,-188.753,1.163,0.858,0,0,0.166,57,0.522,True,34,1,(8 2),(8 3),69.388,4.955158444497501,45.95918367346939,12
50,-189.272,1.14,0.853,0,0,0.137,57,0.516,True,35,73,(1 2),(6 8),70.0,4.809368727013356,46.5,12
51,-186.478,1.118,0.849,0,0,0.129,57,0.516,True,36,26,(8 5),(7 2),70.588,4.7572135159890925,46.09803921568628,12
52,-185.557,1.096,0.839,0,0,0.117,57,0.509,True,37,47,(2 5),(8 7),71.154,4.727314472936178,46.11538461538461,12
53,-182.919,1.075,0.837,0,0,0.113,57,0.508,True,38,14,(0 3),(8 3),71.698,5.019018758023421,45.509433962264154,12
54,-184.819,1.056,0.841,0,0,0.113,57,0.507,False,38,101,(1 3),(0 3),70.37,4.7798378146001825,46.53703703703704,12
55,-189.713,1.036,0.827,0,0,0.113,57,0.508,False,38,101,(8 1),(2 6),69.091,4.769238122476899,47.527272727272724,12
56,-191.206,1.018,0.807,0,0,0.113,57,0.495,False,38,101,(1 5),(8 7),67.857,4.751178687435448,48.482142857142854,12
57,-190.282,1.035,0.799,2,0,0.117,59,0.485,True,39,67,(3 8),(4 7),68.421,4.676345798929139,48.80701754385965,12
58,-187.825,1.017,0.797,0,0,0.113,59,0.482,True,40,21,(2 4),(0 1),68.966,4.719842057129426,48.327586206896555,12
59,-190.601,1.0,0.784,0,0,0.113,59,0.491,False,40,101,(4 3),(1 1),67.797,4.791660962772299,49.220338983050844,12
60,-191.361,0.983,0.784,0,0,0.099,59,0.495,True,41,73,(3 3),(8 8),68.333,4.758479341344796,49.61666666666667,12
61,-189.514,0.967,0.778,0,0,0.092,59,0.495,True,42,41,(2 3),(8 6),68.852,4.791040619379188,49.47540983606557,12
62,-186.532,0.952,0.778,0,0,0.092,59,0.495,True,43,4,(7 4),(5 2),69.355,4.97299552326045,48.74193548387097,12
63,-186.052,0.937,0.776,0,0,0.085,59,0.49,True,44,54,(5 8),(1 5),69.841,4.6958274894164616,48.82539682539682,12
64,-183.145,0.922,0.776,0,0,0.085,59,0.49,True,45,1,(0 6),(0 5),70.312,4.79027389720302,48.078125,12
65,-180.38,0.908,0.776,0,0,0.084,59,0.49,True,46,4,(2 2),(1 1),70.769,5.102087222019869,47.4,12
66,-187.061,0.894,0.787,0,0,0.084,59,0.5,False,46,101,(2 2),(5 8),69.697,4.77997407094956,48.21212121212121,12
67,-190.226,0.881,0.777,0,0,0.084,59,0.508,False,46,101,(8 3),(2 3),68.657,4.68696882178732,49.0,12
68,-187.892,0.868,0.775,0,0,0.082,59,0.507,True,47,18,(4 5),(2 1),69.118,4.6972627006740115,48.544117647058826,12
69,-194.866,0.855,0.774,0,0,0.082,59,0.515,False,47,101,(4 2),(3 6),68.116,4.7862970042041955,49.30434782608695,12
70,-192.809,0.843,0.773,0,0,0.08,59,0.514,True,48,21,(1 5),(8 8),68.571,4.871615949192452,48.9,12
71,-195.355,0.831,0.772,0,0,0.08,59,0.513,False,48,101,(6 5),(5 8),67.606,4.8605140611384465,49.63380281690141,12
72,-194.153,0.819,0.77,0,0,0.076,59,0.515,True,49,39,(2 6),(0 4),68.056,4.782020530987887,49.486111111111114,12
73,-191.559,0.808,0.77,0,0,0.075,59,0.515,True,50,5,(5 0),(5 1),68.493,4.699658375440708,48.87671232876713,12
74,-188.971,0.797,0.77,0,0,0.075,59,0.515,True,51,1,(7 6),(7 5),68.919,5.233204365608085,48.229729729729726,12
75,-187.459,0.787,0.766,0,0,0.072,59,0.516,True,52,30,(5 8),(4 0),69.333,4.814536465250089,47.986666666666665,12
76,-187.675,0.776,0.76,0,0,0.066,59,0.517,True,53,79,(5 7),(3 4),69.737,4.708398545539537,48.39473684210526,12
77,-189.615,0.766,0.763,0,0,0.066,59,0.521,False,53,101,(2 5),(5 4),68.831,4.816227874073454,49.077922077922075,12
78,-196.173,0.756,0.761,0,0,0.066,59,0.526,False,53,101,(4 0),(0 6),67.949,4.823594060832935,49.743589743589745,12
79,-194.968,0.747,0.761,0,0,0.064,59,0.525,True,54,31,(6 3),(2 6),68.354,4.656013138706077,49.50632911392405,12
80,-199.501,0.738,0.755,0,0,0.064,59,0.526,False,54,101,(8 6),(1 5),67.5,4.770063275982986,50.15,12
81,-197.543,0.728,0.753,0,0,0.062,59,0.528,True,55,25,(5 0),(4 2),67.901,4.80378637086629,49.839506172839506,12
82,-196.542,0.72,0.757,0,0,0.06,59,0.53,True,56,31,(7 2),(8 6),68.293,4.798778925294979,49.609756097560975,12
83,-194.517,0.711,0.756,0,0,0.059,59,0.53,True,57,16,(4 4),(8 7),68.675,4.698978703976854,49.204819277108435,12
84,-192.23,0.702,0.756,0,0,0.059,59,0.53,True,58,3,(4 6),(4 7),69.048,5.018129883088563,48.654761904761905,12
85,-193.716,0.694,0.758,0,0,0.059,59,0.529,False,58,101,(7 7),(6 8),68.235,4.80237629705514,49.27058823529412,12
86,-194.332,0.686,0.746,0,0,0.059,59,0.534,False,58,101,(6 2),(2 1),67.442,4.746756401438191,49.872093023255815,12
87,-193.229,0.678,0.744,0,0,0.057,59,0.535,True,59,33,(6 8),(8 3),67.816,4.637296140163284,49.67816091954023,12
88,-196.459,0.67,0.739,0,0,0.057,59,0.535,False,59,101,(6 5),(3 6),67.045,4.792167920289424,50.26136363636363,12
89,-194.674,0.663,0.738,0,0,0.056,59,0.535,True,60,12,(2 8),(0 0),67.416,4.788417126075268,49.831460674157306,12
90,-192.793,0.656,0.738,0,0,0.056,59,0.535,True,61,16,(3 3),(4 6),67.778,4.766614282941516,49.455555555555556,12
91,-199.243,0.648,0.744,0,0,0.056,59,0.54,False,61,101,(0 0),(3 8),67.033,4.805672840744975,50.02197802197802,12
92,-203.701,0.641,0.744,0,0,0.056,59,0.545,False,61,101,(1 3),(4 6),66.304,4.797439627527265,50.57608695652174,12
93,-204.107,0.634,0.737,0,0,0.056,59,0.548,False,61,101,(4 0),(2 0),65.591,4.719108612848441,51.11827956989247,12
94,-206.81,0.628,0.744,0,0,0.056,59,0.555,False,61,101,(8 8),(3 1),64.894,4.790985199824524,51.648936170212764,12
95,-207.591,0.621,0.734,0,0,0.056,59,0.558,False,61,101,(7 7),(2 1),64.211,4.780172020455028,52.16842105263158,12
96,-206.435,0.615,0.734,0,0,0.054,59,0.557,True,62,22,(1 8),(5 0),64.583,4.8137254518627,51.854166666666664,12
97,-210.833,0.608,0.731,0,0,0.054,59,0.56,False,62,101,(6 4),(0 6),63.918,4.771156269297818,52.36082474226804,12
98,-210.746,0.602,0.731,0,0,0.052,59,0.561,True,63,46,(0 0),(4 6),64.286,4.7583725664300855,52.295918367346935,12
99,-208.671,0.596,0.731,0,0,0.052,59,0.561,True,64,5,(6 2),(5 2),64.646,4.826314804428813,51.81818181818182,12
100,-206.801,0.59,0.732,0,0,0.052,59,0.56,True,65,11,(2 5),(6 8),65.0,4.721463961013562,51.41,12
101,-204.934,0.584,0.731,0,0,0.051,59,0.559,True,66,13,(0 6),(1 3),65.347,4.589567537902452,51.02970297029703,12
102,-203.047,0.578,0.731,0,0,0.051,59,0.559,True,67,10,(2 4),(4 4),65.686,4.8161239119254775,50.627450980392155,12
103,-201.705,0.573,0.732,0,0,0.05,59,0.557,True,68,20,(6 8),(2 8),66.019,4.83276239251791,50.33009708737864,12
104,-201.98,0.567,0.728,0,0,0.05,59,0.563,False,68,101,(8 7),(6 1),65.385,4.76175272770224,50.81730769230769,12
105,-200.574,0.562,0.726,0,0,0.048,59,0.563,True,69,29,(4 2),(6 3),65.714,4.755043378154459,50.60952380952381,12
106,-201.962,0.557,0.727,0,0,0.048,59,0.56,False,69,101,(2 0),(1 4),65.094,4.823945133311779,51.08490566037736,12
107,-201.292,0.551,0.724,0,0,0.047,59,0.561,True,70,49,(1 2),(7 0),65.421,4.734707593437765,51.06542056074766,12
108,-203.694,0.546,0.728,0,0,0.047,59,0.564,False,70,101,(7 6),(6 6),64.815,4.81628724079688,51.52777777777778,12
109,-201.835,0.541,0.729,0,0,0.047,59,0.564,True,71,2,(5 7),(6 8),65.138,5.000715319952018,51.07339449541284,12
110,-202.863,0.536,0.726,0,0,0.043,59,0.561,True,72,100,(1 3),(3 8),65.455,4.698460866949699,51.518181818181816,12
111,-203.853,0.532,0.729,0,0,0.041,59,0.563,True,73,68,(8 1),(6 8),65.766,4.709298990793746,51.666666666666664,12
112,-206.185,0.527,0.726,0,0,0.041,59,0.566,False,73,101,(6 5),(1 3),65.179,4.728744919380996,52.107142857142854,12
113,-204.498,0.522,0.726,0,0,0.041,59,0.565,True,74,7,(7 7),(5 2),65.487,4.944953673652621,51.70796460176991,12
114,-202.889,0.518,0.726,0,0,0.041,59,0.564,True,75,10,(4 4),(6 2),65.789,4.821713818732489,51.3421052631579,12
115,-205.443,0.513,0.725,0,0,0.041,59,0.564,False,75,101,(6 3),(3 6),65.217,4.727933777768985,51.77391304347826,12
116,-203.736,0.509,0.725,0,0,0.04,59,0.564,True,76,5,(0 4),(2 1),65.517,4.665175944313509,51.37068965517241,12
117,-205.825,0.504,0.728,0,0,0.04,59,0.565,False,76,101,(7 4),(0 0),64.957,4.835334083765519,51.794871794871796,12
118,-204.178,0.5,0.728,0,0,0.04,59,0.565,True,77,7,(3 4),(1 1),65.254,4.885336020992072,51.41525423728814,12
119,-202.68,0.496,0.727,0,0,0.04,59,0.565,True,78,13,(4 4),(2 3),65.546,4.823989267864371,51.09243697478992,12
120,-201.125,0.492,0.728,0,0,0.04,59,0.565,True,79,7,(8 3),(4 4),65.833,4.873454245963143,50.725,12
121,-204.704,0.488,0.731,0,0,0.04,59,0.57,False,79,101,(8 4),(1 1),65.289,4.800651625613783,51.14049586776859,12
122,-203.228,0.484,0.731,0,0,0.039,59,0.569,True,80,11,(2 8),(0 7),65.574,4.83234777517541,50.81147540983606,12
123,-202.205,0.48,0.729,0,0,0.039,59,0.568,True,81,34,(2 2),(4 6),65.854,4.878254991581789,50.67479674796748,12
124,-202.814,0.476,0.73,0,0,0.039,59,0.573,False,81,101,(8 3),(5 1),65.323,4.795973809700703,51.08064516129032,12
125,-203.15,0.472,0.725,0,0,0.039,59,0.571,False,81,101,(1 2),(4 0),64.8,4.720660281447129,51.48,12
