episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-89.656,1.0,0.345,1,0,0,1,0.172,True,1,29,(7 8),(5 0),100.0,191.18139747544788,29.0,0
2,-49.035,0.5,0.399,0,0,0.143,1,0.194,True,2,7,(7 5),(7 4),100.0,279.85427336926017,18.0,0
3,-51.193,1.0,0.744,2,0,0.429,3,0.157,True,3,15,(8 6),(8 1),100.0,238.9879074118963,17.0,0
4,-38.394,0.75,0.789,0,0,0.375,3,0.154,True,4,1,(6 3),(6 2),100.0,0.01459311225829493,13.0,0
5,-46.946,0.6,0.591,0,0,0.075,3,0.107,True,5,32,(2 4),(5 3),100.0,21.14107334838903,16.8,0
6,-53.946,0.5,0.537,0,0,0.051,3,0.107,True,6,19,(8 5),(0 0),100.0,27.460094764333927,17.166666666666668,0
7,-48.138,0.429,0.537,0,0,0.046,3,0.128,True,7,6,(2 6),(7 7),100.0,753.979149092988,15.571428571428571,0
8,-50.295,0.375,0.475,0,0,0.033,3,0.147,True,8,27,(0 2),(3 6),100.0,365.2188146364245,17.0,0
9,-47.229,0.333,0.474,0,0,0.029,3,0.136,True,9,11,(6 2),(6 5),100.0,0.01489500664948874,16.333333333333332,0
10,-51.358,0.3,0.443,0,0,0.024,3,0.131,True,10,21,(8 6),(1 2),100.0,55.4470618658485,16.8,0
11,-48.282,0.273,0.444,0,0,0.023,3,0.125,True,11,8,(4 5),(2 3),100.0,0.014778348555414397,16.0,0
12,-44.342,0.25,0.459,0,0,0.022,3,0.124,True,12,2,(2 6),(3 5),100.0,826.9481443089932,14.833333333333334,0
13,-53.188,0.462,0.701,3,0,0.045,6,0.114,True,13,42,(5 0),(0 8),100.0,467.4939914888481,16.923076923076923,1
14,-53.197,0.429,0.674,0,0,0.038,6,0.11,True,14,25,(2 0),(4 5),100.0,90.36307294794406,17.5,1
15,-50.365,0.4,0.672,0,0,0.036,6,0.111,True,15,8,(7 7),(6 4),100.0,444.59221179666895,16.866666666666667,1
16,-47.217,0.375,0.674,0,0,0.036,6,0.114,True,16,1,(2 1),(3 1),100.0,500.14649660916206,15.875,1
17,-46.223,0.353,0.663,0,0,0.033,6,0.112,True,17,15,(5 2),(4 6),100.0,0.015240731530380405,15.823529411764707,1
18,-44.814,0.333,0.679,0,0,0.031,6,0.11,True,18,12,(4 1),(0 2),100.0,264.489404265023,15.61111111111111,1
19,-43.305,0.368,0.673,1,0,0.036,7,0.111,True,19,7,(1 7),(6 5),100.0,830.8272542814625,15.157894736842104,2
20,-43.794,0.4,0.646,1,0,0.041,8,0.123,True,20,22,(7 1),(0 1),100.0,259.7992506176984,15.5,2
21,-44.382,0.476,0.608,2,0,0.051,10,0.118,True,21,29,(5 5),(8 1),100.0,45.87713074011307,16.142857142857142,3
22,-46.714,0.545,0.557,2,0,0.062,12,0.109,True,22,47,(6 2),(3 1),100.0,125.25040224343692,17.545454545454547,3
23,-45.189,0.522,0.557,0,0,0.059,12,0.112,True,23,8,(4 7),(8 8),100.0,1035.1819582016508,17.130434782608695,3
24,-45.394,0.5,0.552,0,0,0.056,12,0.113,True,24,13,(2 1),(7 5),100.0,278.4904634879043,16.958333333333332,3
25,-44.752,0.48,0.546,0,0,0.053,12,0.118,True,25,10,(2 7),(7 4),100.0,444.5469693242293,16.68,3
26,-43.146,0.462,0.547,0,0,0.052,12,0.121,True,26,3,(1 5),(1 2),100.0,948.1556598338626,16.153846153846153,3
27,-42.219,0.444,0.547,0,0,0.051,12,0.124,True,27,8,(4 6),(4 2),100.0,236.79420644424218,15.851851851851851,3
28,-43.135,0.429,0.53,0,0,0.047,12,0.125,True,28,21,(7 1),(2 7),100.0,288.77504288216056,16.035714285714285,3
29,-44.131,0.414,0.518,0,0,0.044,12,0.129,True,29,16,(3 4),(7 8),100.0,392.4347319007745,16.03448275862069,3
30,-43.371,0.433,0.516,1,0,0.047,13,0.128,True,30,10,(8 5),(3 6),100.0,558.4066797981443,15.833333333333334,4
31,-43.071,0.419,0.51,0,0,0.045,13,0.127,True,31,12,(6 8),(7 1),100.0,129.68701201361026,15.709677419354838,4
32,-42.953,0.406,0.51,0,0,0.042,13,0.124,True,32,22,(3 4),(5 4),100.0,89.32688885890258,15.90625,4
33,-42.769,0.394,0.507,0,0,0.039,13,0.122,True,33,22,(3 6),(5 2),100.0,86.00834300021967,16.09090909090909,4
34,-43.531,0.382,0.512,0,0,0.036,13,0.116,True,34,28,(6 4),(1 7),100.0,156.91021796643173,16.441176470588236,4
35,-44.024,0.371,0.503,0,0,0.034,13,0.119,True,35,22,(8 6),(2 0),100.0,203.53709742340598,16.6,4
36,-44.652,0.361,0.496,0,0,0.032,13,0.117,True,36,32,(5 0),(4 2),100.0,193.89299378300626,17.02777777777778,4
37,-43.935,0.351,0.494,0,0,0.031,13,0.122,True,37,10,(4 3),(6 1),100.0,289.16107732235383,16.83783783783784,4
38,-46.298,0.342,0.48,0,0,0.028,13,0.121,True,38,48,(4 7),(0 0),100.0,289.8604720581366,17.657894736842106,4
39,-47.207,0.385,0.47,2,0,0.032,15,0.119,True,39,37,(4 5),(4 1),100.0,125.86953334444276,18.153846153846153,4
40,-46.911,0.375,0.468,0,0,0.031,15,0.121,True,40,10,(0 6),(8 8),100.0,865.7834480904299,17.95,4
