episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-30.97,3.0,0.73,3,0,0,3,0.308,True,1,13,(1 5),(7 6),100.0,4.638919073266573,13.0,2
2,-76.751,4.5,0.67,6,0,0,9,0.476,True,2,29,(2 7),(8 0),100.0,4.335870315618676,21.0,4
3,-69.598,5.333,0.654,7,0,0,16,0.288,True,3,24,(1 5),(4 6),100.0,4.730553711749731,22.0,9
4,-78.671,4.75,0.574,3,0,0,19,0.441,True,4,52,(7 1),(6 2),100.0,4.379288567183194,29.5,9
5,-64.433,4.2,0.594,2,0,0,21,0.447,True,5,5,(8 7),(6 4),100.0,4.6137800860091405,24.6,10
6,-71.87,4.333,0.638,5,0,0,26,0.404,True,6,38,(3 2),(4 8),100.0,4.328701307412893,26.833333333333332,11
7,-121.393,4.286,0.954,4,0,0,30,0.443,False,6,101,(0 1),(8 0),85.714,4.297724214963786,37.42857142857143,12
8,-122.19,4.0,0.914,2,0,0,32,0.442,True,7,57,(2 3),(7 0),87.5,4.427195731496443,39.875,12
9,-108.993,3.556,0.908,0,0,8.0,32,0.443,True,8,4,(0 3),(1 2),88.889,4.466949640608113,35.888888888888886,12
10,-104.203,3.5,0.877,3,0,8.75,35,0.444,True,9,24,(5 3),(1 5),90.0,4.259923042569511,34.7,12
11,-95.041,3.182,0.881,0,0,4.375,35,0.444,True,10,4,(3 2),(2 1),90.909,4.42208850966329,31.90909090909091,12
12,-89.981,3.083,0.857,2,0,4.625,37,0.457,True,11,21,(8 5),(8 4),91.667,4.470550387816715,31.0,12
13,-89.669,2.923,0.802,1,0,4.75,38,0.465,True,12,39,(1 1),(8 4),92.308,4.449733925539838,31.615384615384617,13
14,-88.937,2.714,0.782,0,0,1.0,38,0.469,True,13,30,(0 6),(3 2),92.857,4.431781922617656,31.5,13
15,-87.42,2.6,0.754,1,0,1.026,39,0.464,True,14,33,(3 6),(1 0),93.333,4.450657977085321,31.6,13
16,-92.341,2.438,0.736,0,0,0.476,39,0.475,True,15,44,(8 4),(0 5),93.75,4.3712736512056045,32.375,13
17,-88.502,2.294,0.73,0,0,0.398,39,0.476,True,16,16,(5 5),(4 6),94.118,4.374813016919695,31.41176470588235,13
18,-86.096,2.167,0.733,0,0,0.355,39,0.471,True,17,12,(3 8),(1 4),94.444,4.38046460296929,30.333333333333332,13
19,-82.776,2.053,0.727,0,0,0.315,39,0.477,True,18,14,(5 1),(7 0),94.737,4.562331678469777,29.473684210526315,13
20,-79.433,2.0,0.726,1,0,0.323,40,0.478,True,19,7,(0 3),(4 6),95.0,4.571123928609185,28.35,13
21,-76.413,1.952,0.722,1,0,0.331,41,0.48,True,20,8,(7 3),(4 0),95.238,4.551953458394409,27.38095238095238,14
22,-74.806,1.909,0.72,1,0,0.339,42,0.485,True,21,15,(5 4),(2 3),95.455,4.576285419232488,26.818181818181817,15
23,-74.846,1.826,0.732,0,0,0.292,42,0.487,True,22,20,(1 3),(4 0),95.652,4.351553273227056,26.52173913043478,15
24,-73.13,1.833,0.725,2,0,0.306,44,0.482,True,23,16,(3 6),(8 7),95.833,4.373383862362165,26.083333333333332,15
25,-73.3,1.76,0.702,0,0,0.239,44,0.503,True,24,40,(6 5),(4 1),96.0,4.494930921525496,26.64,15
26,-70.845,1.692,0.702,0,0,0.229,44,0.504,True,25,8,(1 3),(0 0),96.154,4.484999675759255,25.923076923076923,15
27,-69.51,1.704,0.699,2,0,0.24,46,0.499,True,26,11,(0 3),(5 7),96.296,4.325077265107591,25.37037037037037,16
28,-67.479,1.643,0.7,0,0,0.229,46,0.504,True,27,9,(6 1),(7 5),96.429,4.5954070261733495,24.785714285714285,16
29,-67.082,1.586,0.696,0,0,0.204,46,0.506,True,28,24,(1 2),(1 4),96.552,4.502147496370671,24.75862068965517,16
30,-75.01,1.533,0.726,0,0,0.156,46,0.52,True,29,70,(8 0),(1 0),96.667,4.440406912314316,26.266666666666666,16
31,-78.664,1.516,0.739,1,0,0.159,47,0.522,True,30,57,(4 3),(4 0),96.774,4.410314363225555,27.258064516129032,16
32,-77.225,1.5,0.742,1,0,0.163,48,0.519,True,31,15,(0 7),(6 8),96.875,4.417172092529152,26.875,17
33,-80.235,1.455,0.732,0,0,0.143,48,0.517,True,32,41,(0 6),(6 2),96.97,4.337834238137174,27.303030303030305,17
34,-79.954,1.471,0.727,2,0,0.149,50,0.518,True,33,22,(6 6),(2 3),97.059,4.242149871068038,27.147058823529413,18
35,-77.669,1.429,0.728,0,0,0.148,50,0.518,True,34,1,(5 2),(5 3),97.143,3.889197435459135,26.4,18
36,-78.675,1.417,0.715,1,0,0.151,51,0.517,True,35,35,(4 6),(1 3),97.222,4.425792907810183,26.63888888888889,18
37,-77.002,1.378,0.715,0,0,0.146,51,0.518,True,36,12,(6 1),(4 3),97.297,4.239256824473466,26.243243243243242,18
38,-77.33,1.342,0.706,0,0,0.131,51,0.523,True,37,41,(0 2),(2 1),97.368,4.369282250894621,26.63157894736842,18
39,-77.094,1.308,0.702,0,0,0.121,51,0.522,True,38,31,(1 4),(2 3),97.436,4.498217094583462,26.743589743589745,18
40,-75.747,1.3,0.7,1,0,0.124,52,0.522,True,39,12,(4 7),(4 6),97.5,4.585837957847319,26.375,19
