episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-79.869,0.0,0.184,0,0,0,0,0.048,True,1,21,(1 6),(7 3),100.0,95.87991768396637,21.0,0
2,-44.674,1.5,0.776,3,0,0.143,3,0.103,True,2,8,(0 6),(1 8),100.0,2413.6793163313514,14.5,2
3,-186.907,1.0,0.302,0,0,0.143,3,0.254,False,2,101,(6 7),(3 1),66.667,542.4072271584206,43.333333333333336,2
4,-159.142,0.75,0.291,0,0,0.075,3,0.228,True,3,19,(6 0),(3 8),75.0,0.01448524949080507,37.25,2
5,-138.852,0.8,0.296,1,0,0.1,4,0.201,True,4,25,(6 7),(8 4),80.0,34.26418039210265,34.8,2
6,-222.55,0.667,0.215,0,0,0.1,4,0.236,False,4,101,(3 8),(6 0),66.667,536.0090788648071,45.833333333333336,2
7,-201.363,0.571,0.211,0,0,0.067,4,0.234,True,5,20,(1 8),(7 4),71.429,271.72627127599395,42.142857142857146,2
8,-217.402,0.5,0.177,0,0,0.067,4,0.255,False,5,101,(2 6),(5 3),62.5,531.6439971773146,49.5,2
9,-193.763,0.444,0.18,0,0,0.062,4,0.252,True,6,4,(3 7),(6 6),66.667,0.01424956631305364,44.44444444444444,2
10,-190.469,0.4,0.195,0,0,0.032,4,0.221,True,7,61,(8 6),(5 4),70.0,60.704197311834825,46.1,2
11,-173.919,0.364,0.202,0,0,0.031,4,0.221,True,8,6,(4 0),(3 3),72.727,122.44882897410349,42.45454545454545,2
12,-159.925,0.333,0.202,0,0,0.03,4,0.223,True,9,4,(1 5),(1 1),75.0,1031.0815837636646,39.25,2
13,-173.734,0.385,0.208,1,0,0.037,5,0.239,True,10,97,(5 8),(2 2),76.923,601.8518083288417,43.69230769230769,2
14,-166.444,0.571,0.218,3,0,0.059,8,0.235,True,11,18,(5 0),(1 8),78.571,413.26184626601395,41.857142857142854,3
15,-158.82,0.667,0.217,2,0,0.074,10,0.236,True,12,16,(0 6),(5 1),80.0,612.3482058715738,40.13333333333333,3
16,-150.027,0.625,0.219,0,0,0.067,10,0.23,True,13,15,(5 0),(4 1),81.25,0.014737412224083892,38.5625,3
17,-160.846,0.588,0.206,0,0,0.067,10,0.22,False,13,101,(4 8),(6 4),76.471,335.1033100659044,42.23529411764706,3
18,-151.966,0.556,0.21,0,0,0.066,10,0.219,True,14,2,(6 8),(5 7),77.778,0.012092696764542709,40.0,3
19,-149.688,0.632,0.219,2,0,0.079,12,0.209,True,15,41,(1 7),(6 0),78.947,148.73988862190757,40.05263157894737,4
20,-148.993,0.6,0.272,0,0,0.066,12,0.215,True,16,31,(3 7),(0 0),80.0,898.7554498725308,39.6,4
21,-144.21,0.571,0.273,0,0,0.06,12,0.221,True,17,17,(4 0),(1 6),80.952,857.3024034584093,38.523809523809526,4
22,-138.184,0.545,0.279,0,0,0.058,12,0.224,True,18,8,(0 4),(1 7),81.818,1858.721173759498,37.13636363636363,4
23,-136.259,0.652,0.297,3,0,0.072,15,0.236,True,19,43,(8 0),(7 2),82.609,713.369465942237,37.391304347826086,6
24,-130.623,0.625,0.3,0,0,0.071,15,0.235,True,20,2,(6 7),(4 7),83.333,0.014313585598578997,35.916666666666664,6
25,-126.139,0.6,0.302,0,0,0.068,15,0.233,True,21,10,(1 2),(5 0),84.0,77.98038535884038,34.88,6
26,-122.429,0.577,0.303,0,0,0.065,15,0.233,True,22,12,(8 4),(4 6),84.615,326.93215465181987,34.0,6
