episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-6.414,0.0,1.311,0,0,0,0,1.0,True,1,6,(0 5),(0 3),100.0,5.2567148498060945,6.0,0
2,-76.534,2.5,1.155,5,0,0.833,5,0.5,True,2,50,(4 4),(0 0),100.0,5.3868066884700925,28.0,1
3,-102.961,2.667,1.262,3,0,1.333,8,0.515,True,3,45,(5 2),(0 1),100.0,5.4042095303083375,33.666666666666664,1
4,-84.028,2.25,1.194,1,0,1.5,9,0.469,True,4,12,(5 8),(5 2),100.0,4.91494364544801,28.25,1
5,-100.92,3.0,1.037,6,0,2.5,15,0.458,True,5,40,(0 0),(0 7),100.0,5.302517534365495,30.6,3
6,-130.695,2.667,0.837,1,0,2.667,16,0.28,False,5,101,(4 2),(8 6),83.333,5.282009176175972,42.333333333333336,4
7,-114.559,2.571,0.828,2,0,3.0,18,0.27,True,6,9,(2 7),(5 3),85.714,5.532181401906649,37.57142857142857,4
8,-100.541,2.375,0.837,1,0,3.167,19,0.274,True,7,3,(2 1),(1 1),87.5,5.67051389033225,33.25,4
9,-89.481,2.222,0.844,1,0,3.333,20,0.276,True,8,2,(1 2),(3 2),88.889,4.888106708789036,29.77777777777778,4
10,-83.255,2.0,0.841,0,0,1.176,20,0.265,True,9,11,(4 3),(8 6),90.0,5.543844341033741,27.9,4
11,-77.205,2.091,0.836,3,0,1.353,23,0.254,True,10,12,(2 5),(4 7),90.909,5.408352102296481,26.454545454545453,5
12,-71.707,1.917,0.834,0,0,0.92,23,0.261,True,11,8,(0 1),(4 0),91.667,5.423175728285762,24.916666666666668,5
13,-71.852,1.923,0.797,2,0,1.0,25,0.226,True,12,38,(8 5),(7 6),92.308,5.296044632837688,25.923076923076923,5
