episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-251.528,3.0,1.311,3,0,0,3,0.0,True,1,40,(5 8),(0 0),100.0,239.53947362609884,40.0,2
2,-146.357,2.5,1.081,2,0,0,5,0.02,True,2,11,(2 0),(6 7),100.0,1098.9522772133216,25.5,4
3,-110.907,1.667,0.966,0,0,0.455,5,0.016,True,3,11,(8 4),(2 3),100.0,132.56974042144878,20.666666666666668,4
4,-87.069,1.5,0.918,1,0,0.545,6,0.029,True,4,7,(4 7),(2 2),100.0,1157.1995571800717,17.25,5
5,-74.118,1.2,0.831,0,0,0.273,6,0.075,True,5,11,(5 5),(2 1),100.0,1146.3236136293272,16.0,5
6,-61.765,1.0,0.86,0,0,0.261,6,0.086,True,6,1,(2 5),(3 5),100.0,346.3300622432711,13.5,5
7,-53.084,0.857,0.881,0,0,0.24,6,0.084,True,7,2,(5 4),(3 4),100.0,0.015295438849435523,11.857142857142858,5
8,-50.316,0.75,0.816,0,0,0.15,6,0.153,True,8,15,(4 4),(1 8),100.0,933.5911324237828,12.25,5
9,-49.546,0.667,0.759,0,0,0.1,6,0.169,True,9,20,(5 0),(3 6),100.0,747.4968484250073,13.11111111111111,5
10,-45.781,0.6,0.74,0,0,0.086,6,0.195,True,10,10,(0 8),(2 8),100.0,1987.3077549311643,12.8,5
11,-43.164,0.545,0.733,0,0,0.078,6,0.207,True,11,7,(2 3),(5 7),100.0,1018.4247845039853,12.272727272727273,5
12,-42.76,0.5,0.684,0,0,0.068,6,0.212,True,12,11,(4 7),(4 0),100.0,1076.6662072512358,12.166666666666666,5
13,-44.885,0.462,0.824,0,0,0.053,6,0.192,True,13,26,(6 1),(8 7),100.0,121.35249873538386,13.23076923076923,5
14,-44.791,0.429,0.805,0,0,0.045,6,0.178,True,14,19,(2 0),(0 3),100.0,111.88494385201022,13.642857142857142,5
15,-42.565,0.4,0.798,0,0,0.043,6,0.183,True,15,6,(1 4),(1 8),100.0,388.9467814684288,13.133333333333333,5
16,-42.407,0.375,0.775,0,0,0.04,6,0.187,True,16,12,(5 8),(0 7),100.0,487.869888243296,13.0625,5
17,-44.254,0.412,0.769,1,0,0.046,7,0.191,True,17,16,(7 8),(1 0),100.0,442.5610513234697,13.235294117647058,5
18,-43.802,0.389,0.757,0,0,0.042,7,0.187,True,18,16,(7 3),(5 7),100.0,442.1995896511166,13.38888888888889,5
19,-41.623,0.368,0.762,0,0,0.041,7,0.184,True,19,3,(1 2),(2 4),100.0,440.96698756342494,12.842105263157896,5
20,-40.107,0.35,0.753,0,0,0.039,7,0.187,True,20,8,(1 6),(3 4),100.0,501.2083477899515,12.6,5
21,-38.755,0.333,0.748,0,0,0.038,7,0.189,True,21,7,(6 7),(7 5),100.0,718.2159688021477,12.333333333333334,5
22,-37.459,0.318,0.747,0,0,0.036,7,0.192,True,22,7,(1 5),(5 4),100.0,977.4075712938978,12.090909090909092,5
23,-36.697,0.304,0.741,0,0,0.035,7,0.196,True,23,10,(6 3),(4 5),100.0,400.260526921943,12.0,5
24,-38.077,0.292,0.75,0,0,0.031,7,0.189,True,24,21,(7 6),(1 0),100.0,528.0937589034916,12.375,5
25,-42.136,0.32,0.694,1,0,0.036,8,0.183,True,25,36,(2 1),(8 5),100.0,571.7739343746507,13.32,6
26,-41.053,0.308,0.691,0,0,0.034,8,0.184,True,26,9,(4 0),(6 3),100.0,736.9625363249847,13.153846153846153,6
27,-40.047,0.333,0.686,1,0,0.039,9,0.181,True,27,11,(6 1),(7 3),100.0,377.43889407550245,13.074074074074074,6
28,-41.164,0.393,0.671,2,0,0.047,11,0.18,True,28,31,(2 2),(6 0),100.0,640.5620220372073,13.714285714285714,6
29,-41.46,0.379,0.65,0,0,0.043,11,0.183,True,29,21,(5 7),(5 0),100.0,615.5424498317275,13.96551724137931,6
30,-40.355,0.367,0.654,0,0,0.042,11,0.18,True,30,6,(6 4),(3 3),100.0,389.13136209757636,13.7,6
31,-45.322,0.419,0.65,2,0,0.05,13,0.161,True,31,80,(6 2),(0 1),100.0,182.36148446258807,15.838709677419354,8
32,-45.307,0.406,0.646,0,0,0.047,13,0.166,True,32,20,(4 1),(0 3),100.0,653.1093939991895,15.96875,8
33,-44.841,0.394,0.64,0,0,0.045,13,0.169,True,33,11,(5 2),(6 6),100.0,241.47128390756296,15.818181818181818,8
34,-45.788,0.412,0.635,1,0,0.048,14,0.164,True,34,33,(4 4),(3 8),100.0,216.2774929875393,16.323529411764707,9
35,-44.806,0.4,0.633,0,0,0.047,14,0.17,True,35,9,(1 7),(1 6),100.0,1015.2849432881713,16.114285714285714,9
36,-44.134,0.389,0.629,0,0,0.045,14,0.17,True,36,14,(6 5),(4 3),100.0,649.7397210019337,16.055555555555557,9
37,-46.416,0.378,0.615,0,0,0.039,14,0.182,True,37,42,(4 1),(6 3),100.0,663.0449103584757,16.756756756756758,9
38,-45.686,0.395,0.612,1,0,0.042,15,0.182,True,38,8,(4 7),(5 2),100.0,551.6923986424703,16.526315789473685,10
39,-47.308,0.385,0.605,0,0,0.038,15,0.181,True,39,35,(2 1),(5 8),100.0,370.9709266468523,17.0,10
