episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-135.614,2.0,0.197,2,0,0,2,0.167,True,1,30,(0 1),(7 4),100.0,398.2535546472144,30.0,1
2,-92.987,3.0,0.284,4,0,0,6,0.156,True,2,15,(7 3),(0 2),100.0,1306.6072582091208,22.5,4
3,-70.456,2.0,0.334,0,0,0.6,6,0.145,True,3,10,(3 1),(3 5),100.0,471.30995478639477,18.333333333333332,4
4,-55.398,1.75,0.334,1,0,0.7,7,0.177,True,4,7,(5 4),(6 0),100.0,707.8246439270765,15.5,5
5,-59.986,1.8,0.525,2,0,0.9,9,0.181,True,5,32,(5 8),(7 4),100.0,1162.6606174991355,18.8,7
6,-57.792,1.833,0.534,2,0,1.1,11,0.226,True,6,30,(1 3),(0 6),100.0,1530.198179356055,20.666666666666668,7
7,-50.652,1.571,0.538,0,0,0.733,11,0.256,True,7,5,(6 1),(5 5),100.0,1035.784798713366,18.428571428571427,7
8,-56.59,1.625,0.472,2,0,0.867,13,0.25,True,8,27,(1 7),(6 1),100.0,831.9187981818365,19.5,7
9,-56.081,1.444,0.467,0,0,0.433,13,0.269,True,9,15,(2 8),(6 4),100.0,610.9363462388835,19.0,7
10,-51.038,1.3,0.456,0,0,0.371,13,0.273,True,10,5,(1 4),(0 1),100.0,625.9114515377606,17.6,7
11,-55.85,1.182,0.44,0,0,0.203,13,0.244,True,11,29,(1 3),(5 6),100.0,109.0606872701064,18.636363636363637,7
12,-51.895,1.083,0.449,0,0,0.188,13,0.238,True,12,5,(5 6),(4 2),100.0,1190.6659410771726,17.5,7
13,-61.777,1.077,0.383,1,0,0.203,14,0.243,True,13,58,(3 6),(5 2),100.0,733.352406913933,20.615384615384617,8
14,-69.336,1.214,0.368,3,0,0.246,17,0.266,True,14,40,(5 7),(0 0),100.0,865.3777916665719,22.0,10
15,-65.517,1.267,0.372,2,0,0.275,19,0.268,True,15,9,(3 5),(3 8),100.0,1039.7805299139577,21.133333333333333,10
16,-61.423,1.188,0.373,0,0,0.271,19,0.267,True,16,1,(5 8),(5 7),100.0,449.98905299812253,19.875,10
17,-65.871,1.118,0.373,0,0,0.188,19,0.264,True,17,31,(0 1),(5 7),100.0,270.936986906972,20.529411764705884,10
18,-62.581,1.056,0.386,0,0,0.178,19,0.259,True,18,6,(0 3),(1 0),100.0,414.22999154956204,19.72222222222222,10
19,-59.563,1.0,0.388,0,0,0.171,19,0.256,True,19,4,(1 8),(1 6),100.0,1022.0654823705655,18.894736842105264,10
20,-58.106,0.95,0.391,0,0,0.152,19,0.268,True,20,14,(4 0),(4 4),100.0,1515.8459545521089,18.65,10
21,-55.577,0.905,0.391,0,0,0.146,19,0.272,True,21,5,(0 8),(0 6),100.0,1183.0405238781943,18.0,10
22,-53.051,0.864,0.396,0,0,0.145,19,0.274,True,22,1,(4 2),(4 3),100.0,0.012298766318838129,17.227272727272727,10
23,-53.317,0.913,0.389,2,0,0.16,21,0.279,True,23,22,(7 1),(3 5),100.0,591.65744151208,17.434782608695652,11
24,-51.289,0.875,0.394,0,0,0.156,21,0.281,True,24,4,(6 3),(4 3),100.0,787.7738051792268,16.875,11
25,-54.82,0.88,0.371,1,0,0.163,22,0.272,True,25,92,(3 8),(3 7),100.0,563.3769652510804,19.88,12
