episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-134.048,8.0,0.645,8,0,0,8,0.333,True,1,39,(4 1),(0 5),100.0,4.545322142029726,39.0,3
2,-143.665,5.5,0.531,3,0,0,11,0.41,True,2,44,(8 8),(3 4),100.0,4.573477785211317,41.5,4
3,-145.693,4.0,0.624,1,0,0,12,0.387,True,3,28,(8 6),(0 1),100.0,4.467717820502936,37.0,5
4,-110.432,3.25,0.627,1,0,0,13,0.383,True,4,4,(4 6),(2 8),100.0,5.09781556937537,28.75,6
5,-99.215,3.2,0.626,3,0,0,16,0.389,True,5,16,(7 5),(1 5),100.0,4.3913545763603885,26.2,7
6,-85.502,3.167,0.651,3,0,0,19,0.367,True,6,8,(3 4),(8 3),100.0,4.155621101757516,23.166666666666668,7
7,-122.279,3.0,0.608,2,0,0,21,0.462,False,6,101,(2 0),(0 5),85.714,4.631698186031945,34.285714285714285,7
8,-113.294,2.875,0.609,2,0,0,23,0.415,True,7,25,(4 6),(8 8),87.5,4.657513131212884,33.125,7
9,-107.836,2.556,0.604,0,0,1.0,23,0.392,True,8,23,(6 0),(7 5),88.889,4.792195486623699,32.0,7
10,-138.934,3.4,0.632,11,0,1.478,34,0.418,True,9,85,(2 2),(1 8),90.0,4.501395312763409,37.3,10
11,-128.096,3.273,0.642,2,0,1.565,36,0.417,True,10,11,(6 2),(8 1),90.909,4.533777174609076,34.90909090909091,11
12,-126.552,3.083,0.666,1,0,1.609,37,0.42,True,11,26,(8 3),(0 1),91.667,4.507686029328474,34.166666666666664,11
13,-132.089,3.154,0.664,4,0,1.783,41,0.414,True,12,42,(8 3),(2 7),92.308,4.63252614890742,34.76923076923077,12
14,-133.425,2.929,0.647,0,0,0.603,41,0.38,True,13,45,(8 1),(6 5),92.857,4.559437601414261,35.5,12
