episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-15.236,0.0,1.209,0,0,0,0,1.0,True,1,10,(0 0),(2 0),100.0,5.034784590548083,10.0,0
2,-14.236,0.0,1.055,0,0,0,0,0.526,True,2,9,(5 8),(4 6),100.0,5.632829487689931,9.5,0
3,-126.47,2.667,0.797,8,0,0.421,8,0.221,True,3,58,(8 5),(2 8),100.0,5.2886171944189595,25.666666666666668,0
4,-102.308,2.25,0.79,1,0,0.474,9,0.191,True,4,12,(0 5),(5 8),100.0,5.283721515999926,22.25,0
5,-87.196,1.8,0.766,0,0,0.281,9,0.167,True,5,13,(8 8),(3 6),100.0,5.490039221710727,20.4,0
6,-125.335,3.333,0.634,11,0,0.625,20,0.381,True,6,92,(2 2),(0 6),100.0,5.1506932921460455,32.333333333333336,1
7,-147.972,3.143,0.757,2,0,0.688,22,0.566,False,6,101,(0 5),(3 0),85.714,5.243916161214792,42.142857142857146,1
8,-196.108,2.875,0.626,1,0,0.719,23,0.528,True,7,82,(1 4),(8 7),87.5,5.092479752469937,47.125,1
9,-214.534,3.111,0.626,5,0,0.875,28,0.518,True,8,69,(5 1),(4 6),88.889,5.185699735936506,49.55555555555556,1
10,-197.474,3.1,0.621,3,0,0.969,31,0.519,True,9,18,(2 0),(5 1),90.0,5.344424577275643,46.4,1
11,-188.35,3.182,0.621,4,0,1.094,35,0.51,True,10,34,(6 5),(8 1),90.909,5.066024399354908,45.27272727272727,2
12,-174.0,2.917,0.62,0,0,0.897,35,0.503,True,11,7,(2 6),(7 8),91.667,5.2937657742737185,42.083333333333336,2
13,-168.694,2.769,0.608,1,0,0.923,36,0.483,True,12,33,(5 0),(3 7),92.308,5.319500252976622,41.38461538461539,2
14,-160.881,2.786,0.6,3,0,1.0,39,0.483,True,13,25,(2 1),(4 4),92.857,5.214307338658345,40.214285714285715,2
15,-168.35,2.667,0.574,1,0,1.026,40,0.455,False,13,101,(3 7),(7 3),86.667,5.192011177850247,44.266666666666666,2
16,-158.84,2.5,0.574,0,0,0.833,40,0.45,True,14,9,(3 8),(5 5),87.5,5.381667764019955,42.0625,2
17,-149.77,2.353,0.579,0,0,0.769,40,0.449,True,15,4,(5 6),(7 8),88.235,5.3086641902169225,39.8235294117647,2
18,-142.468,2.222,0.577,0,0,0.625,40,0.441,True,16,12,(7 8),(5 4),88.889,5.226063244647174,38.27777777777778,2
19,-144.91,2.158,0.578,1,0,0.641,41,0.421,True,17,38,(8 5),(3 6),89.474,5.130378112793851,38.26315789473684,3
20,-138.943,2.1,0.571,1,0,0.656,42,0.412,True,18,15,(3 6),(0 8),90.0,5.065666196296085,37.1,3
21,-133.221,2.0,0.57,0,0,0.553,42,0.408,True,19,12,(2 6),(4 4),90.476,4.977894289322277,35.904761904761905,3
22,-141.623,2.0,0.576,2,0,0.579,44,0.42,True,20,58,(7 5),(0 6),90.909,5.0953446555589945,36.90909090909091,3
23,-137.609,1.957,0.569,1,0,0.592,45,0.405,True,21,29,(4 6),(8 7),91.304,5.360808512793886,36.56521739130435,3
