episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-11.715,2.0,0.665,2,0,0,2,0.333,True,1,9,(1 0),(3 1),100.0,5.452704228469034,9.0,0
2,-10.971,1.5,0.512,1,0,0,3,0.438,True,2,7,(1 5),(0 1),100.0,5.614461635634878,8.0,0
3,-18.651,1.333,0.47,1,0,0,4,0.594,True,3,16,(5 3),(1 0),100.0,5.608081771030774,10.666666666666666,1
4,-26.36,2.0,0.492,4,0,0,8,0.423,True,4,20,(0 5),(7 4),100.0,5.413429658868308,13.0,1
5,-40.233,2.4,0.52,4,0,0,12,0.481,True,5,25,(2 0),(2 6),100.0,5.297602607834664,15.4,2
6,-60.092,2.833,0.52,5,0,0,17,0.369,True,6,34,(3 1),(4 8),100.0,5.403767183327654,18.5,4
7,-65.183,2.429,0.562,0,0,0.739,17,0.313,True,7,23,(6 0),(6 6),100.0,5.455248210145935,19.142857142857142,4
8,-59.415,2.375,0.537,2,0,0.826,19,0.322,True,8,9,(2 6),(1 0),100.0,5.925396128274201,17.875,4
9,-56.666,2.333,0.56,2,0,0.913,21,0.319,True,9,17,(4 1),(6 0),100.0,5.363904383430707,17.77777777777778,4
10,-59.755,2.1,0.529,0,0,0.292,21,0.254,True,10,49,(7 7),(7 3),100.0,5.4876494728239065,20.9,4
11,-59.871,2.091,0.526,2,0,0.319,23,0.264,True,11,22,(7 6),(3 4),100.0,5.059241290115377,21.0,4
12,-65.02,1.917,0.502,0,0,0.174,23,0.247,True,12,60,(7 5),(2 1),100.0,5.242644646947444,24.25,4
13,-80.047,1.846,0.45,1,0,0.182,24,0.278,False,12,101,(7 4),(5 7),92.308,5.376777766279313,30.153846153846153,4
14,-80.86,1.714,0.448,0,0,0.142,24,0.266,True,13,37,(3 5),(8 1),92.857,5.4050127586604635,30.642857142857142,4
15,-78.184,1.6,0.447,0,0,0.133,24,0.265,True,14,12,(0 1),(7 4),93.333,5.166736835672448,29.4,4
16,-73.89,1.5,0.449,0,0,0.127,24,0.265,True,15,8,(4 5),(3 8),93.75,5.284896858361195,28.0625,4
17,-70.895,1.412,0.448,0,0,0.12,24,0.267,True,16,11,(7 6),(5 3),94.118,5.476891048157795,27.058823529411764,4
18,-69.219,1.389,0.448,1,0,0.125,25,0.279,True,17,17,(7 6),(3 1),94.444,5.346148505275902,26.5,4
19,-67.948,1.421,0.451,2,0,0.135,27,0.279,True,18,21,(5 4),(3 5),94.737,5.156935910316143,26.210526315789473,5
20,-65.81,1.35,0.452,0,0,0.126,27,0.288,True,19,15,(5 5),(6 3),95.0,5.3403608050050675,25.65,5
21,-62.839,1.286,0.458,0,0,0.123,27,0.288,True,20,4,(5 2),(6 3),95.238,5.195388033417042,24.61904761904762,5
22,-62.717,1.273,0.46,1,0,0.128,28,0.282,True,21,18,(5 7),(8 0),95.455,5.4623991751604795,24.318181818181817,6
23,-72.613,1.478,0.449,6,0,0.155,34,0.313,False,21,101,(4 1),(2 6),91.304,5.198585449106788,27.652173913043477,8
24,-79.765,1.417,0.462,0,0,0.129,34,0.309,True,22,44,(7 3),(2 7),91.667,5.372488905407885,28.333333333333332,8
25,-77.305,1.36,0.463,0,0,0.124,34,0.317,True,23,11,(4 4),(0 3),92.0,5.559750980787421,27.64,8
26,-80.571,1.346,0.465,1,0,0.128,35,0.336,True,24,50,(2 6),(8 2),92.308,5.3689932263897155,28.5,8
27,-85.63,1.333,0.48,1,0,0.131,36,0.345,True,25,42,(7 7),(0 5),92.593,5.354453767661711,29.0,8
28,-82.824,1.286,0.482,0,0,0.129,36,0.347,True,26,6,(4 4),(6 6),92.857,5.290002020796635,28.178571428571427,8
29,-82.747,1.276,0.482,1,0,0.132,37,0.347,True,27,19,(7 7),(2 0),93.103,5.293540019696809,27.862068965517242,9
30,-82.557,1.3,0.48,2,0,0.139,39,0.363,True,28,33,(1 2),(3 5),93.333,5.410825912724817,28.033333333333335,9
31,-82.703,1.323,0.482,2,0,0.146,41,0.367,True,29,33,(1 7),(3 5),93.548,5.401346412586317,28.193548387096776,9
32,-80.308,1.281,0.487,0,0,0.144,41,0.366,True,30,5,(6 3),(5 1),93.75,5.112680841805877,27.46875,9
33,-79.916,1.303,0.489,2,0,0.151,43,0.356,True,31,23,(1 8),(7 7),93.939,5.487125792759537,27.333333333333332,10
34,-79.791,1.265,0.487,0,0,0.139,43,0.368,True,32,24,(2 7),(2 3),94.118,5.3775857743635385,27.235294117647058,10
35,-88.091,1.229,0.49,0,0,0.12,43,0.364,True,33,50,(8 0),(0 6),94.286,5.396985629315177,27.885714285714286,10
36,-86.476,1.194,0.49,0,0,0.114,43,0.374,True,34,19,(5 2),(3 2),94.444,5.608451978781916,27.63888888888889,10
37,-86.754,1.162,0.491,0,0,0.106,43,0.378,True,35,28,(8 6),(0 4),94.595,5.301801317340501,27.64864864864865,10
38,-87.491,1.132,0.492,0,0,0.098,43,0.377,True,36,35,(0 5),(7 1),94.737,5.3891502396082895,27.842105263157894,10
39,-88.63,1.154,0.493,2,0,0.102,45,0.384,True,37,35,(1 8),(5 3),94.872,5.5698542975867165,28.025641025641026,10
40,-88.012,1.125,0.493,0,0,0.095,45,0.385,True,38,33,(1 2),(3 1),95.0,5.570295454511437,28.15,10
41,-87.544,1.098,0.492,0,0,0.091,45,0.387,True,39,23,(3 1),(4 7),95.122,5.200812905911191,28.024390243902438,10
42,-86.853,1.071,0.495,0,0,0.088,45,0.387,True,40,17,(0 6),(5 5),95.238,5.281070553842421,27.761904761904763,10
43,-85.707,1.047,0.495,0,0,0.084,45,0.385,True,41,20,(6 4),(5 5),95.349,5.442514227833064,27.58139534883721,10
44,-84.319,1.045,0.499,1,0,0.086,46,0.384,True,42,11,(2 7),(8 6),95.455,5.093180041129687,27.204545454545453,11
45,-87.886,1.022,0.497,0,0,0.077,46,0.387,True,43,63,(1 1),(2 7),95.556,5.268062646557464,28.0,11
46,-88.947,1.0,0.495,0,0,0.073,46,0.394,True,44,36,(2 0),(3 7),95.652,5.146960215076564,28.17391304347826,11
47,-87.664,1.0,0.491,1,0,0.074,47,0.39,True,45,23,(3 1),(1 1),95.745,5.502479050064824,28.06382978723404,11
48,-93.146,1.0,0.493,1,0,0.076,48,0.401,True,46,79,(8 3),(0 8),95.833,5.316559719129699,29.125,12
49,-96.377,0.98,0.495,0,0,0.069,48,0.386,True,47,67,(6 0),(4 3),95.918,5.301228342268,29.897959183673468,12
50,-94.928,0.96,0.496,0,0,0.068,48,0.388,True,48,10,(7 7),(5 1),96.0,5.554147518685145,29.5,12
51,-93.36,0.941,0.499,0,0,0.067,48,0.388,True,49,8,(2 4),(7 5),96.078,5.186170045235575,29.07843137254902,12
52,-93.845,0.942,0.504,1,0,0.068,49,0.39,True,50,32,(6 8),(0 1),96.154,5.503869812280269,29.134615384615383,12
53,-92.349,0.925,0.504,0,0,0.068,49,0.389,True,51,7,(5 7),(1 8),96.226,5.696788713700316,28.71698113207547,12
54,-94.03,0.926,0.503,1,0,0.069,50,0.383,True,52,68,(6 8),(7 1),96.296,5.277802541358753,29.444444444444443,12
55,-93.624,0.909,0.5,0,0,0.067,50,0.382,True,53,16,(1 1),(8 8),96.364,5.319731367673259,29.2,12
56,-99.939,0.911,0.511,1,0,0.069,51,0.386,True,54,90,(3 1),(0 8),96.429,5.307087540769607,30.285714285714285,13
57,-105.526,0.912,0.51,1,0,0.07,52,0.378,False,54,101,(2 7),(7 5),94.737,5.423127515184388,31.526315789473685,13
58,-110.389,0.914,0.517,1,0,0.072,53,0.377,True,55,62,(8 1),(0 6),94.828,5.392119273195525,32.05172413793103,13
59,-109.503,0.898,0.521,0,0,0.07,53,0.375,True,56,20,(8 6),(8 2),94.915,5.696506533967221,31.847457627118644,13
60,-109.746,0.883,0.519,0,0,0.066,53,0.374,True,57,39,(8 5),(0 6),95.0,5.284272570859243,31.966666666666665,13
61,-114.182,0.869,0.519,0,0,0.06,53,0.386,True,58,78,(1 1),(0 7),95.082,5.358808855847098,32.721311475409834,13
62,-113.758,0.855,0.518,0,0,0.058,53,0.385,True,59,30,(4 6),(0 8),95.161,5.265792763261241,32.67741935483871,13
63,-120.169,0.857,0.541,1,0,0.059,54,0.392,False,59,101,(7 5),(0 5),93.651,5.510805116527905,33.76190476190476,14
64,-119.055,0.844,0.54,0,0,0.058,54,0.392,True,60,18,(8 6),(4 0),93.75,5.526323860278516,33.515625,14
65,-120.35,0.831,0.534,0,0,0.054,54,0.39,True,61,82,(8 1),(5 7),93.846,5.480454440227806,34.261538461538464,14
